# {"t_start": 1558372384.632509} 
r,l,t
20.0,20,2.196614
14.0,14,2.196671
7.0,7,2.20142
17.0,17,2.207804
26.0,26,2.209111
15.0,15,2.211016
37.0,37,2.215186
12.0,12,2.215239
12.0,12,2.216491
14.0,14,2.219432
10.0,10,2.221181
15.0,15,2.224186
9.0,9,2.224821
19.0,19,2.227671
7.0,7,2.231629
14.0,14,2.233055
20.0,20,2.236172
11.0,11,2.238503
13.0,13,2.240914
19.0,19,2.247113
17.0,17,2.248317
15.0,15,2.249549
55.0,55,2.254127
13.0,13,2.255339
14.0,14,2.258376
10.0,10,2.261238
12.0,12,2.265236
30.0,30,2.266501
10.0,10,2.267132
27.0,27,2.27006
13.0,13,2.274021
16.0,16,2.274818
15.0,15,2.276021
14.0,14,2.278302
10.0,10,2.280592
8.0,8,2.283004
12.0,12,2.287752
9.0,9,2.288369
26.0,26,2.289561
24.0,24,2.29018
8.0,8,2.294191
13.0,13,2.295366
10.0,10,2.295991
14.0,14,2.29659
11.0,11,2.300662
10.0,10,2.301922
15.0,15,2.310465
28.0,28,2.311876
24.0,24,2.314868
36.0,36,2.317961
7.0,7,2.319222
19.0,19,2.322077
19.0,19,2.323415
17.0,17,2.32795
11.0,11,2.329872
17.0,17,2.332193
25.0,25,2.334154
9.0,9,2.335435
16.0,16,2.341632
14.0,14,2.343375
16.0,16,2.343424
17.0,17,2.62542
40.0,40,2.625496
19.0,19,2.628823
25.0,25,2.632821
13.0,13,2.634193
12.0,12,2.63685
26.0,26,2.642848
12.0,12,2.644863
11.0,11,2.650156
12.0,12,2.652741
38.0,38,2.65813
10.0,10,2.659494
44.0,44,2.663443
12.0,12,2.67132
18.0,18,2.671389
38.0,38,2.67529
14.0,14,2.6805
26.0,26,2.688536
8.0,8,2.693876
33.0,33,2.697174
63.0,63,2.6999
32.0,32,2.701839
21.0,21,2.707725
14.0,14,2.709087
10.0,10,2.714312
22.0,22,2.716419
14.0,14,2.718627
32.0,32,2.718693
