# {"t_start": 1558153375.2273102} 
r,l,t
12.0,12,0.041379
22.0,22,0.048589
37.0,37,0.05894
48.0,48,0.066225
30.0,30,0.068928
15.0,15,0.068986
43.0,43,0.071046
16.0,16,0.079934
16.0,16,0.082049
23.0,23,0.084756
15.0,15,0.090302
37.0,37,0.091715
12.0,12,0.093132
10.0,10,0.098373
15.0,15,0.100442
34.0,34,0.105369
19.0,19,0.106125
14.0,14,0.114524
27.0,27,0.118489
22.0,22,0.120629
39.0,39,0.124638
18.0,18,0.126674
16.0,16,0.129444
14.0,14,0.130212
12.0,12,0.13294
13.0,13,0.135866
15.0,15,0.139786
18.0,18,0.142482
14.0,14,0.149279
10.0,10,0.149337
21.0,21,0.150028
12.0,12,0.156599
42.0,42,0.160732
23.0,23,0.164751
24.0,24,0.164809
19.0,19,0.169355
11.0,11,0.176665
19.0,19,0.177404
20.0,20,0.178144
30.0,30,0.180824
14.0,14,0.186086
19.0,19,0.190759
24.0,24,0.193469
17.0,17,0.197416
32.0,32,0.202075
21.0,21,0.204742
13.0,13,0.206131
29.0,29,0.212674
19.0,19,0.214682
17.0,17,0.217364
21.0,21,0.2188
14.0,14,0.22664
25.0,25,0.229312
33.0,33,0.238557
19.0,19,0.243767
10.0,10,0.250328
35.0,35,0.251712
12.0,12,0.259516
63.0,63,0.262182
37.0,37,0.262978
32.0,32,0.271435
20.0,20,0.27281
18.0,18,0.274208
18.0,18,0.274948
10.0,10,0.278279
19.0,19,0.290722
27.0,27,0.292102
28.0,28,0.2935
33.0,33,0.294868
11.0,11,0.298231
11.0,11,0.305438
29.0,29,0.311358
26.0,26,0.312095
10.0,10,0.31215
11.0,11,0.319387
11.0,11,0.319445
11.0,11,0.326622
33.0,33,0.333147
22.0,22,0.333888
11.0,11,0.333941
64.0,64,0.336151
16.0,16,0.345077
17.0,17,0.345826
19.0,19,0.349764
30.0,30,0.354478
16.0,16,0.357131
18.0,18,0.35787
14.0,14,0.363749
11.0,11,0.365138
15.0,15,0.367164
34.0,34,1.251241
14.0,14,1.252117
19.0,19,1.257353
25.0,25,1.264057
19.0,19,1.265626
19.0,19,1.271689
26.0,26,1.2834
30.0,30,1.287901
40.0,40,1.300972
22.0,22,1.303968
72.0,72,1.30554
11.0,11,1.309283
18.0,18,1.317478
12.0,12,1.318345
17.0,17,1.318414
49.0,49,1.319991
21.0,21,1.333835
28.0,28,1.340523
31.0,31,1.3414
37.0,37,1.345135
20.0,20,1.349016
12.0,12,1.350984
12.0,12,1.354756
14.0,14,1.361493
33.0,33,1.365944
24.0,24,1.367586
19.0,19,1.375853
29.0,29,1.376688
16.0,16,1.379886
17.0,17,1.388545
19.0,19,1.393688
29.0,29,1.398235
15.0,15,1.404881
25.0,25,1.407156
12.0,12,1.415795
69.0,69,1.417208
28.0,28,1.418752
20.0,20,1.419541
16.0,16,1.428021
17.0,17,1.432683
22.0,22,1.435613
34.0,34,1.442998
17.0,17,1.445745
31.0,31,1.451965
16.0,16,1.4557
15.0,15,1.457231
12.0,12,1.460875
15.0,15,1.466797
47.0,47,1.471285
21.0,21,1.472992
18.0,18,1.474522
21.0,21,1.482608
16.0,16,1.483381
16.0,16,1.484798
12.0,12,1.491329
14.0,14,1.493621
33.0,33,1.498605
10.0,10,1.505963
11.0,11,1.514101
33.0,33,1.517944
54.0,54,1.524859
10.0,10,1.525652
16.0,16,1.526433
16.0,16,1.536786
15.0,15,1.536846
12.0,12,1.545563
29.0,29,1.547806
77.0,77,1.548616
11.0,11,1.55397
23.0,23,1.554029
10.0,10,1.555495
17.0,17,1.561339
13.0,13,1.563722
14.0,14,1.564571
10.0,10,1.56913
11.0,11,1.573004
24.0,24,1.573835
12.0,12,1.582195
20.0,20,1.589021
36.0,36,1.591264
19.0,19,1.596491
15.0,15,1.600282
49.0,49,1.606593
23.0,23,1.608978
17.0,17,1.620151
34.0,34,1.620891
29.0,29,1.620945
37.0,37,1.965463
17.0,17,1.965543
13.0,13,1.975164
35.0,35,1.979648
38.0,38,1.981945
36.0,36,2.001661
52.0,52,2.003984
37.0,37,2.007025
34.0,34,2.0071
16.0,16,2.015869
19.0,19,2.021038
20.0,20,2.03053
42.0,42,2.032859
12.0,12,2.039417
49.0,49,2.043156
25.0,25,2.051179
12.0,12,2.051998
28.0,28,2.060312
14.0,14,2.061919
62.0,62,2.06703
25.0,25,2.080183
26.0,26,2.086576
50.0,50,2.089809
16.0,16,2.092785
49.0,49,2.097206
11.0,11,2.100945
13.0,13,2.107021
30.0,30,2.109273
14.0,14,2.111526
19.0,19,2.121007
58.0,58,2.132743
31.0,31,2.134309
36.0,36,2.135902
42.0,42,2.152365
24.0,24,2.152427
33.0,33,2.157797
17.0,17,2.165062
29.0,29,2.174078
53.0,53,2.176184
35.0,35,2.185101
25.0,25,2.193973
41.0,41,2.196911
12.0,12,2.202835
34.0,34,2.210129
20.0,20,2.211585
14.0,14,2.220573
30.0,30,2.224757
11.0,11,2.228365
34.0,34,2.23821
16.0,16,2.238284
84.0,84,2.241485
8.0,8,2.246319
34.0,34,2.257941
22.0,22,2.259558
12.0,12,2.266969
20.0,20,2.274589
37.0,37,2.274644
16.0,16,2.279084
15.0,15,2.285605
12.0,12,2.287984
11.0,11,2.296333
23.0,23,2.303249
45.0,45,2.308676
17.0,17,2.309491
11.0,11,2.311761
95.0,95,2.312546
15.0,15,2.319947
28.0,28,2.333791
41.0,41,2.677486
43.0,43,2.681953
44.0,44,2.68994
35.0,35,2.69603
41.0,41,2.707699
36.0,36,2.708535
38.0,38,2.718154
38.0,38,2.724112
27.0,27,2.727874
30.0,30,2.730876
13.0,13,2.737563
28.0,28,2.744897
41.0,41,2.748676
20.0,20,2.752366
11.0,11,2.756785
36.0,36,2.757649
27.0,27,2.77219
30.0,30,2.779147
38.0,38,2.785791
58.0,58,2.788127
38.0,38,2.800538
41.0,41,2.8094
16.0,16,2.812459
11.0,11,2.817641
46.0,46,2.822113
23.0,23,2.829515
23.0,23,2.834624
75.0,75,2.841105
13.0,13,2.844055
27.0,27,2.849209
41.0,41,2.852217
20.0,20,2.858711
18.0,18,2.865566
36.0,36,2.876049
32.0,32,2.882721
23.0,23,2.893181
74.0,74,2.89624
19.0,19,2.89707
43.0,43,2.897847
10.0,10,2.903836
12.0,12,2.906084
25.0,25,2.912069
23.0,23,2.915012
24.0,24,2.921783
21.0,21,2.927521
32.0,32,2.938783
26.0,26,2.941002
21.0,21,2.943289
51.0,51,2.94408
17.0,17,2.95161
12.0,12,2.953094
17.0,17,2.953887
15.0,15,2.954671
13.0,13,2.961721
32.0,32,2.978999
25.0,25,2.980514
37.0,37,2.981297
11.0,11,2.989628
15.0,15,2.990487
51.0,51,2.992593
16.0,16,3.000884
16.0,16,3.00169
33.0,33,3.004462
10.0,10,3.007913
23.0,23,3.008668
19.0,19,3.014491
13.0,13,3.016518
20.0,20,3.021886
35.0,35,3.027955
12.0,12,3.029974
24.0,24,3.03264
32.0,32,3.037937
20.0,20,3.37245
20.0,20,3.374764
17.0,17,3.375608
18.0,18,3.389433
25.0,25,3.392741
31.0,31,3.399671
