AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
17.32,0.499611496925354,0.500388503074646,17.32,0.6931464076042175,-5.6523547688813736e-05,1,48,48.0,0.0012872149236500263,8,8.0,-1.7711699911160395e-05,1.9999998807907104,8.216909394656849,8.216909394656849,115,2000,154.83116149902344
17.61,0.5011720657348633,0.49882784485816956,17.61,0.6919357776641846,0.0033349686135073497,2,49,49.0,0.0013148519210517406,8,8.0,0.004509235266596079,1.9975813627243042,7.714784507683932,7.714784507683932,222,4000,147.67149353027344
18.94,0.5110192894935608,0.48898079991340637,18.94,0.6886290907859802,0.0037903855171078638,3,60,60.0,0.0014182832092046738,7,7.0,0.005766613874584436,1.9910190105438232,9.868961444853253,9.868961444853253,327,6000,125.06531524658203
19.75,0.512707531452179,0.48729240894317627,19.75,0.6827952861785889,0.011180361872358602,4,56,56.0,0.0013188292505219579,8,8.0,0.00422687130048871,1.9795787334442139,10.241459856875874,10.241459856875874,427,8000,96.320068359375
24.33,0.5210107564926147,0.47898903489112854,24.33,0.678035318851471,0.01439882695725403,5,72,72.0,0.0011074352078139782,8,8.0,0.0016768652712926269,1.9703717231750488,13.435814080285569,13.435814080285569,503,10000,141.6153106689453
21.85,0.5027445554733276,0.49725544452667236,21.85,0.6681882739067078,0.011510288661690016,6,95,95.0,0.0014297127490863204,7,7.0,0.01086740754544735,1.951646089553833,14.162891653896107,14.162891653896107,596,12000,94.88150024414062
24.46,0.5118430256843567,0.4881570339202881,24.46,0.6607833504676819,0.04695125130584121,7,72,72.0,0.001319583156146109,6,6.0,0.012144365347921848,1.9379324913024902,13.119009108922823,13.119009108922823,670,14000,113.3166732788086
27.51,0.5144509673118591,0.48554909229278564,27.51,0.6506262421607971,0.04845445014413752,8,96,96.0,0.0012297742068767548,6,6.0,0.010398531332612038,1.919600486755371,16.42162903003231,16.42162903003231,743,16000,123.00739288330078
28.9,0.5004656314849854,0.4995345175266266,28.9,0.6379995346069336,0.028940693814725416,9,81,81.0,0.0012356794904917479,6,6.0,0.006327169947326183,1.8965814113616943,16.416150584104667,16.416150584104667,806,18000,179.95648193359375
31.21,0.4996597468852997,0.5003402233123779,31.21,0.6284552216529846,0.08405101869005305,10,108,108.0,0.0012076658895239234,8,8.0,0.006653354503214359,1.8799740076065063,18.19301789148793,18.19301789148793,874,20000,129.68565368652344
32.89,0.5202896595001221,0.47971004247665405,32.89,0.616235613822937,0.025624877944713464,11,130,130.0,0.001016533118672669,8,8.0,0.017989274114370346,1.859418511390686,21.17729680577764,21.17729680577764,927,22000,261.4830322265625
32.84,0.4949195384979248,0.50508052110672,32.84,0.6025142073631287,0.08981963870312637,12,130,130.0,0.0009897503769025207,8,8.0,0.011774459853768349,1.8365609645843506,21.55816318706211,21.55816318706211,995,24000,152.23387145996094
33.87,0.49157315492630005,0.5084269046783447,33.87,0.5923097133636475,0.03484876460323327,13,135,135.0,0.0009921095333993435,9,9.0,0.02728319726884365,1.8190007209777832,20.42432618227588,20.42432618227588,1047,26000,237.49337768554688
38.81,0.4968205988407135,0.5031793713569641,38.81,0.5864371657371521,0.11724560192151001,14,135,135.0,0.0008260091999545693,10,10.0,0.013487218879163265,1.8086644411087036,19.895072254204052,19.895072254204052,1099,28000,134.4962615966797
40.8,0.4922710359096527,0.5077288746833801,40.8,0.5796070694923401,0.05984550480239614,15,125,125.0,0.0007404583739116788,11,11.0,0.02209450677037239,1.798146367073059,20.636375650777442,20.636375650777442,1146,30000,241.24249267578125
40.58,0.5169929265975952,0.48300671577453613,40.58,0.5562690496444702,0.0988913886642806,16,125,125.0,0.0007365191704593599,13,13.0,0.022130366414785385,1.761017918586731,22.904663280650954,22.904663280650954,1196,32000,186.61184692382812
40.66,0.49082085490226746,0.5091791152954102,40.66,0.5428003072738647,0.12401203510672898,17,110,110.0,0.0007144211558625102,13,13.0,0.011243171989917755,1.738207221031189,21.02104659620924,21.02104659620924,1242,34000,177.87481689453125
44.2,0.5103626251220703,0.4896374046802521,44.2,0.537592887878418,0.09007681753695274,18,110,110.0,0.0006866390467621386,13,13.0,0.022541901096701622,1.7303154468536377,22.952124084711638,22.952124084711638,1284,36000,230.589111328125
44.1,0.5179938673973083,0.4820060729980469,44.1,0.5220211148262024,0.10462345094563763,19,124,124.0,0.0007572902250103652,12,12.0,0.015143156982958317,1.7066694498062134,24.37478205030765,24.37478205030765,1331,38000,203.8004150390625
47.4,0.5276598334312439,0.47234028577804565,47.4,0.5234108567237854,0.12654638322447032,20,127,127.0,0.0005126861506141722,12,12.0,0.03713199496269226,1.7094075679779053,24.05493712317702,24.05493712317702,1370,40000,208.58351135253906
46.7,0.488645076751709,0.5113549828529358,46.7,0.5069599151611328,0.08339887434507376,21,127,127.0,0.00035180733539164066,13,13.0,0.013954616151750088,1.684814691543579,23.289697293009198,23.289697293009198,1412,42000,247.20603942871094
49.37,0.5057936906814575,0.49420639872550964,49.37,0.5035191178321838,0.05745136496740211,22,169,169.0,0.00027344111003912985,12,12.0,-0.004350578878074884,1.6789116859436035,28.59638263836879,28.59638263836879,1451,44000,329.18994140625
50.46,0.534727156162262,0.46527284383773804,50.46,0.4917348325252533,0.15611956366572322,23,169,169.0,0.00026236771373078227,12,12.0,0.015994982793927193,1.660507082939148,29.157647367371734,29.157647367371734,1490,46000,211.17796325683594
51.46,0.5031027793884277,0.4968971610069275,51.46,0.4986571967601776,0.2277651873157941,24,131,131.0,0.00022193306358531117,12,12.0,0.013806331902742386,1.6727946996688843,25.181509089012117,25.181509089012117,1528,48000,156.99606323242188
