# {"t_start": 1558158482.06067} 
r,l,t
14.0,14,2.537186
13.0,13,2.540988
13.0,13,2.543705
15.0,15,2.55186
31.0,31,2.552455
48.0,48,2.563214
46.0,46,2.566047
11.0,11,2.569401
43.0,43,2.57586
48.0,48,2.57809
23.0,23,2.578685
27.0,27,2.58414
22.0,22,2.590323
12.0,12,2.596919
36.0,36,2.598605
27.0,27,2.599229
43.0,43,2.621205
51.0,51,2.627727
100.0,100,2.631608
11.0,11,2.633845
16.0,16,2.64059
26.0,26,2.648257
95.0,95,2.6516
23.0,23,2.653319
61.0,61,2.654985
20.0,20,2.659424
19.0,19,2.662194
15.0,15,2.663361
13.0,13,2.669509
23.0,23,2.672283
18.0,18,2.673417
38.0,38,2.674538
14.0,14,2.991861
12.0,12,2.999311
36.0,36,3.00362
47.0,47,3.013268
29.0,29,3.02053
72.0,72,3.026377
36.0,36,3.039478
27.0,27,3.040332
56.0,56,3.044748
17.0,17,3.052001
20.0,20,3.054956
14.0,14,3.055029
16.0,16,3.063622
20.0,20,3.069463
24.0,24,3.072398
14.0,14,3.073951
11.0,11,3.077591
15.0,15,3.083356
81.0,81,3.085684
22.0,22,3.093823
21.0,21,3.098897
47.0,47,3.10871
34.0,34,3.111014
12.0,12,3.11974
65.0,65,3.14114
72.0,72,3.151155
20.0,20,3.155492
70.0,70,3.159119
17.0,17,3.167492
67.0,67,3.167551
26.0,26,3.169562
15.0,15,3.169621
24.0,24,3.184976
32.0,32,3.188653
34.0,34,3.190001
40.0,40,3.19577
20.0,20,3.209791
39.0,39,3.215786
42.0,42,3.219753
20.0,20,3.230642
33.0,33,3.234616
71.0,71,3.236184
30.0,30,3.242221
24.0,24,3.252518
36.0,36,3.257172
30.0,30,3.257896
35.0,35,3.266258
21.0,21,3.266316
29.0,29,3.276306
30.0,30,3.286103
19.0,19,3.288938
51.0,51,3.29161
18.0,18,3.298335
50.0,50,3.299716
12.0,12,3.306309
24.0,24,3.307771
32.0,32,3.310668
29.0,29,3.319123
15.0,15,3.320501
28.0,28,3.683152
47.0,47,3.6849
14.0,14,3.69499
23.0,23,3.700497
72.0,72,3.702099
19.0,19,3.71585
20.0,20,3.71821
80.0,80,3.724806
15.0,15,3.729269
27.0,27,3.735937
59.0,59,3.740391
30.0,30,3.747017
15.0,15,3.747089
19.0,19,3.760561
52.0,52,3.767098
14.0,14,3.777214
48.0,48,3.781552
61.0,61,3.784768
12.0,12,3.790525
9.0,9,3.79134
73.0,73,3.813887
46.0,46,3.823979
15.0,15,3.824807
84.0,84,3.838251
65.0,65,3.838324
29.0,29,3.84553
14.0,14,3.848485
19.0,19,3.8592
58.0,58,3.865674
50.0,50,3.874366
39.0,39,3.876699
10.0,10,3.882033
28.0,28,3.886695
38.0,38,3.887505
10.0,10,3.889722
54.0,54,3.925888
75.0,75,3.931749
13.0,13,3.935547
79.0,79,3.947256
88.0,88,3.951916
33.0,33,3.956182
29.0,29,3.957167
26.0,26,3.970606
35.0,35,3.98139
36.0,36,3.982957
24.0,24,3.988359
28.0,28,4.003322
26.0,26,4.007128
22.0,22,4.019682
20.0,20,4.035372
40.0,40,4.037389
75.0,75,4.037448
11.0,11,4.045678
22.0,22,4.390924
21.0,21,4.392513
14.0,14,4.395509
163.0,163,4.407156
27.0,27,4.415208
30.0,30,4.429007
76.0,76,4.447727
51.0,51,4.452102
9.0,9,4.454338
13.0,13,4.461634
102.0,102,4.465303
52.0,52,4.466885
22.0,22,4.477576
22.0,22,4.481287
9.0,9,4.487759
23.0,23,4.50489
41.0,41,4.50791
60.0,60,4.510891
22.0,22,4.523991
100.0,100,4.528176
41.0,41,4.535358
38.0,38,4.539031
36.0,36,4.550582
45.0,45,4.560606
21.0,21,4.575597
68.0,68,4.584265
71.0,71,4.59014
26.0,26,4.594553
16.0,16,4.596007
14.0,14,4.604704
39.0,39,4.623838
53.0,53,4.628097
45.0,45,4.636845
137.0,137,4.64974
34.0,34,4.662331
85.0,85,4.686612
82.0,82,4.689085
61.0,61,4.695261
12.0,12,4.696036
98.0,98,4.735522
70.0,70,4.747622
81.0,81,4.7491
21.0,21,5.107347
25.0,25,5.108935
115.0,115,5.122751
32.0,32,5.132211
35.0,35,5.133057
21.0,21,5.13815
89.0,89,5.143314
17.0,17,5.145543
26.0,26,5.161906
43.0,43,5.163452
26.0,26,5.164275
37.0,37,5.165085
54.0,54,5.20095
52.0,52,5.201033
58.0,58,5.206922
64.0,64,5.210593
16.0,16,5.218481
38.0,38,5.237933
61.0,61,5.245057
62.0,62,5.245888
32.0,32,5.268623
52.0,52,5.275143
48.0,48,5.303845
129.0,129,5.312047
78.0,78,5.33228
65.0,65,5.359495
90.0,90,5.369138
58.0,58,5.374172
180.0,180,5.375661
29.0,29,5.379944
59.0,59,5.412379
58.0,58,5.422825
66.0,66,5.424378
16.0,16,5.424439
17.0,17,5.43572
24.0,24,5.442312
92.0,92,5.442371
54.0,54,5.801807
32.0,32,5.803444
42.0,42,5.810716
40.0,40,5.83055
44.0,44,5.835062
12.0,12,5.839559
98.0,98,5.845991
13.0,13,5.850501
34.0,34,5.871046
22.0,22,5.886739
75.0,75,5.891101
36.0,36,5.916791
94.0,94,5.918496
148.0,148,5.919335
19.0,19,5.933037
42.0,42,5.947147
28.0,28,5.952854
50.0,50,5.954398
25.0,25,5.965085
20.0,20,5.967292
118.0,118,5.971606
11.0,11,5.973127
34.0,34,5.978783
18.0,18,5.986334
27.0,27,5.991451
63.0,63,6.014085
39.0,39,6.015625
25.0,25,6.032758
35.0,35,6.04161
100.0,100,6.053394
25.0,25,6.059984
111.0,111,6.074299
21.0,21,6.075805
45.0,45,6.086577
40.0,40,6.104611
102.0,102,6.107482
56.0,56,6.114499
17.0,17,6.119603
64.0,64,6.132375
30.0,30,6.141514
65.0,65,6.151845
18.0,18,6.154881
63.0,63,6.160692
22.0,22,6.506704
15.0,15,6.510483
103.0,103,6.547162
68.0,68,6.56015
19.0,19,6.560975
25.0,25,6.578998
104.0,104,6.582719
37.0,37,6.587037
134.0,134,6.591448
19.0,19,6.592995
22.0,22,6.607629
38.0,38,6.610618
39.0,39,6.615727
17.0,17,6.620204
44.0,44,6.625304
49.0,49,6.645939
28.0,28,6.665926
87.0,87,6.687175
100.0,100,6.691412
108.0,108,6.692836
41.0,41,6.720755
17.0,17,6.733232
59.0,59,6.739873
111.0,111,6.749704
94.0,94,6.763279
36.0,36,6.765593
30.0,30,6.771555
31.0,31,6.788197
28.0,28,6.791953
82.0,82,6.792673
25.0,25,6.811072
49.0,49,6.824386
89.0,89,6.830486
23.0,23,6.849256
35.0,35,6.85389
18.0,18,6.862684
94.0,94,6.86488
77.0,77,6.871657
18.0,18,6.876116
68.0,68,7.265881
80.0,80,7.281171
85.0,85,7.28919
122.0,122,7.294297
57.0,57,7.307267
24.0,24,7.324522
59.0,59,7.337072
87.0,87,7.344255
41.0,41,7.354512
104.0,104,7.36452
31.0,31,7.376575
66.0,66,7.38443
51.0,51,7.401098
42.0,42,7.407301
91.0,91,7.410472
39.0,39,7.436929
49.0,49,7.438388
21.0,21,7.453907
108.0,108,7.465172
113.0,113,7.494045
75.0,75,7.519386
116.0,116,7.539199
142.0,142,7.541324
14.0,14,7.551953
83.0,83,7.555662
38.0,38,7.567907
