# {"t_start": 1558277310.770539} 
r,l,t
37.0,37,2.234762
16.0,16,2.240005
10.0,10,2.246504
40.0,40,2.249924
26.0,26,2.251928
20.0,20,2.259736
48.0,48,2.261116
17.0,17,2.261166
10.0,10,2.267652
25.0,25,2.268352
16.0,16,2.270352
20.0,20,2.27447
19.0,19,2.280943
21.0,21,2.281673
15.0,15,2.284498
24.0,24,2.286639
20.0,20,2.295103
16.0,16,2.297123
19.0,19,2.297174
24.0,24,2.297209
12.0,12,2.304759
14.0,14,2.306015
20.0,20,2.308002
29.0,29,2.315093
20.0,20,2.318211
22.0,22,2.321329
17.0,17,2.333027
48.0,48,2.335552
29.0,29,2.33747
12.0,12,2.343104
23.0,23,2.347359
57.0,57,2.351686
28.0,28,2.354792
14.0,14,2.362741
35.0,35,2.363916
28.0,28,2.367894
11.0,11,2.369065
42.0,42,2.372072
15.0,15,2.372707
15.0,15,2.380646
15.0,15,2.38128
35.0,35,2.388128
21.0,21,2.392744
42.0,42,2.393364
25.0,25,2.395659
16.0,16,2.397439
15.0,15,2.401393
12.0,12,2.402582
34.0,34,2.412636
42.0,42,2.421072
49.0,49,2.429399
15.0,15,2.430027
49.0,49,2.430689
8.0,8,2.434159
12.0,12,2.43758
11.0,11,2.440435
53.0,53,2.443271
14.0,14,2.448552
12.0,12,2.455355
37.0,37,2.458894
55.0,55,2.461775
39.0,39,2.46569
21.0,21,2.470757
19.0,19,2.472671
22.0,22,2.478271
15.0,15,2.47956
31.0,31,2.750402
66.0,66,2.75375
33.0,33,2.759682
14.0,14,2.759744
22.0,22,2.768124
55.0,55,2.772719
27.0,27,2.777284
22.0,22,2.787214
33.0,33,2.789884
56.0,56,2.796406
34.0,34,2.799695
32.0,32,2.808151
29.0,29,2.808881
40.0,40,2.825647
30.0,30,2.827687
43.0,43,2.836752
17.0,17,2.836811
23.0,23,2.851913
39.0,39,2.853304
11.0,11,2.8592
40.0,40,2.863154
29.0,29,2.872135
22.0,22,2.87342
26.0,26,2.879546
15.0,15,2.882673
20.0,20,2.884588
142.0,142,2.888269
16.0,16,2.889581
17.0,17,2.895107
25.0,25,2.898159
18.0,18,2.899436
23.0,23,2.903721
13.0,13,2.907482
11.0,11,2.910569
28.0,28,2.912452
10.0,10,2.913737
31.0,31,2.917372
11.0,11,2.919301
14.0,14,2.9224
11.0,11,2.924537
31.0,31,2.9298
18.0,18,2.93326
18.0,18,2.935014
20.0,20,2.941369
14.0,14,2.943088
50.0,50,2.948919
19.0,19,2.954013
37.0,37,2.954645
34.0,34,2.961091
23.0,23,2.962271
26.0,26,2.969076
25.0,25,2.969128
21.0,21,2.973064
26.0,26,2.977005
20.0,20,2.9804
23.0,23,2.982146
12.0,12,2.983905
15.0,15,2.989224
17.0,17,2.99377
21.0,21,2.994442
15.0,15,2.997873
56.0,56,3.005173
15.0,15,3.006348
27.0,27,3.009727
37.0,37,3.014834
16.0,16,3.015459
23.0,23,3.018334
16.0,16,3.018959
11.0,11,3.021264
16.0,16,3.024677
11.0,11,3.025305
17.0,17,3.028173
21.0,21,3.036553
18.0,18,3.038281
30.0,30,3.038328
9.0,9,3.043467
17.0,17,3.04636
37.0,37,3.046409
13.0,13,3.309309
11.0,11,3.316502
34.0,34,3.317236
23.0,23,3.319243
26.0,26,3.321268
13.0,13,3.329742
25.0,25,3.335625
35.0,35,3.340255
20.0,20,3.348856
18.0,18,3.352126
40.0,40,3.356046
63.0,63,3.358065
26.0,26,3.365823
29.0,29,3.371052
32.0,32,3.378888
23.0,23,3.380902
43.0,43,3.384176
22.0,22,3.385545
15.0,15,3.393954
32.0,32,3.401748
31.0,31,3.40586
11.0,11,3.413057
54.0,54,3.414427
32.0,32,3.415144
26.0,26,3.419224
17.0,17,3.42614
21.0,21,3.42755
23.0,23,3.430829
23.0,23,3.434802
13.0,13,3.439094
25.0,25,3.443442
29.0,29,3.444707
12.0,12,3.452259
32.0,32,3.454779
50.0,50,3.469808
32.0,32,3.471732
46.0,46,3.471778
17.0,17,3.482128
20.0,20,3.484044
25.0,25,3.485323
15.0,15,3.493173
69.0,69,3.496775
36.0,36,3.503558
40.0,40,3.519551
15.0,15,3.52809
70.0,70,3.53329
89.0,89,3.536703
19.0,19,3.539002
16.0,16,3.547941
86.0,86,3.552442
44.0,44,3.558055
39.0,39,3.558674
20.0,20,3.559293
12.0,12,3.559329
16.0,16,3.568281
23.0,23,3.571178
25.0,25,3.572929
12.0,12,3.575205
19.0,19,3.582498
43.0,43,3.584285
38.0,38,3.594876
10.0,10,3.600586
60.0,60,3.87487
60.0,60,3.876916
86.0,86,3.884094
28.0,28,3.893194
34.0,34,3.898975
69.0,69,3.901635
17.0,17,3.904277
62.0,62,3.924408
21.0,21,3.938198
55.0,55,3.940238
78.0,78,3.952692
19.0,19,3.95276
93.0,93,3.96005
19.0,19,3.965272
10.0,10,3.966645
30.0,30,3.972758
12.0,12,3.97348
71.0,71,3.985238
44.0,44,3.995589
27.0,27,4.00248
65.0,65,4.01409
22.0,22,4.016
83.0,83,4.025777
12.0,12,4.033189
34.0,34,4.036865
39.0,39,4.038154
13.0,13,4.041231
16.0,16,4.046676
19.0,19,4.057935
30.0,30,4.059122
21.0,21,4.071038
26.0,26,4.072802
16.0,16,4.081741
147.0,147,4.083518
17.0,17,4.093192
50.0,50,4.099415
35.0,35,4.101711
129.0,129,4.112274
43.0,43,4.125688
89.0,89,4.149551
107.0,107,4.153556
73.0,73,4.153608
14.0,14,4.161719
71.0,71,4.166237
36.0,36,4.170192
29.0,29,4.170242
28.0,28,4.441442
48.0,48,4.459154
31.0,31,4.461831
85.0,85,4.473527
25.0,25,4.47555
73.0,73,4.475603
11.0,11,4.482685
27.0,27,4.49119
71.0,71,4.508111
54.0,54,4.510772
52.0,52,4.516578
15.0,15,4.520431
31.0,31,4.528289
17.0,17,4.531623
15.0,15,4.541531
117.0,117,4.567293
79.0,79,4.567992
33.0,33,4.587213
52.0,52,4.599345
121.0,121,4.604241
12.0,12,4.606694
49.0,49,4.6171
22.0,22,4.617787
16.0,16,4.627016
53.0,53,4.637993
22.0,22,4.63973
44.0,44,4.642635
19.0,19,4.650755
192.0,192,4.657595
11.0,11,4.663869
26.0,26,4.665638
51.0,51,4.66739
8.0,8,4.67024
24.0,24,4.677463
67.0,67,4.680882
27.0,27,4.682636
38.0,38,4.691605
15.0,15,4.699996
31.0,31,4.700047
45.0,45,4.706225
14.0,14,4.707962
54.0,54,4.70801
23.0,23,4.720913
32.0,32,4.724348
65.0,65,4.736795
42.0,42,5.005192
72.0,72,5.009836
29.0,29,5.015062
19.0,19,5.017729
26.0,26,5.026699
17.0,17,5.028689
21.0,21,5.04227
51.0,51,5.048162
106.0,106,5.050829
40.0,40,5.052821
13.0,13,5.059339
44.0,44,5.070983
54.0,54,5.083249
20.0,20,5.083984
57.0,57,5.089792
49.0,49,5.091167
22.0,22,5.098465
12.0,12,5.099198
26.0,26,5.100553
18.0,18,5.112425
32.0,32,5.120232
50.0,50,5.12285
39.0,39,5.124205
16.0,16,5.133019
33.0,33,5.141052
23.0,23,5.147138
49.0,49,5.154363
43.0,43,5.167037
26.0,26,5.170079
14.0,14,5.17888
130.0,130,5.192053
80.0,80,5.194933
41.0,41,5.202426
71.0,71,5.208711
57.0,57,5.234635
80.0,80,5.237492
98.0,98,5.2503
77.0,77,5.252024
33.0,33,5.256024
50.0,50,5.26281
48.0,48,5.282976
61.0,61,5.286425
74.0,74,5.29209
18.0,18,5.296726
29.0,29,5.566729
32.0,32,5.573991
58.0,58,5.575444
30.0,30,5.586469
23.0,23,5.59045
35.0,35,5.596974
17.0,17,5.601528
13.0,13,5.60545
26.0,26,5.622206
42.0,42,5.628681
176.0,176,5.62874
31.0,31,5.642306
96.0,96,5.648816
23.0,23,5.657226
27.0,27,5.666522
22.0,22,5.671899
14.0,14,5.675873
80.0,80,5.681124
14.0,14,5.681181
87.0,87,5.685759
20.0,20,5.697854
36.0,36,5.698553
34.0,34,5.702224
15.0,15,5.707063
13.0,13,5.710156
33.0,33,5.718612
20.0,20,5.730696
48.0,48,5.736141
91.0,91,5.736814
47.0,47,5.738736
14.0,14,5.73942
30.0,30,5.756013
48.0,48,5.764181
57.0,57,5.769802
28.0,28,5.772142
28.0,28,5.780133
80.0,80,5.785215
29.0,29,5.801323
64.0,64,5.805814
72.0,72,5.812581
20.0,20,5.812635
24.0,24,5.819398
78.0,78,5.823903
25.0,25,5.833396
42.0,42,5.836229
47.0,47,5.839112
49.0,49,5.851391
28.0,28,5.854812
35.0,35,5.855975
27.0,27,6.131676
66.0,66,6.136305
55.0,55,6.155038
40.0,40,6.162304
75.0,75,6.166917
78.0,78,6.182507
47.0,47,6.186035
25.0,25,6.202197
56.0,56,6.20361
18.0,18,6.213982
30.0,30,6.233557
79.0,79,6.234287
50.0,50,6.236296
123.0,123,6.243043
26.0,26,6.25318
31.0,31,6.253862
31.0,31,6.25454
25.0,25,6.258886
16.0,16,6.264402
29.0,29,6.271695
19.0,19,6.283157
46.0,46,6.28684
46.0,46,6.292376
14.0,14,6.295411
29.0,29,6.312317
101.0,101,6.314078
39.0,39,6.315257
66.0,66,6.321951
21.0,21,6.327014
31.0,31,6.330093
39.0,39,6.351892
52.0,52,6.356461
114.0,114,6.38622
12.0,12,6.39299
67.0,67,6.394187
77.0,77,6.395358
191.0,191,6.421602
65.0,65,6.692776
63.0,63,6.692865
17.0,17,6.693603
17.0,17,6.704673
17.0,17,6.715756
26.0,26,6.732487
76.0,76,6.742395
41.0,41,6.759102
148.0,148,6.788741
50.0,50,6.791378
240.0,240,6.805204
139.0,139,6.831372
20.0,20,6.843498
14.0,14,6.851967
102.0,102,6.852663
110.0,110,6.872585
138.0,138,6.876889
41.0,41,6.876944
41.0,41,6.877621
19.0,19,6.88826
24.0,24,6.890536
63.0,63,6.913775
44.0,44,6.91671
79.0,79,6.919038
30.0,30,6.93113
79.0,79,6.93466
39.0,39,6.941378
38.0,38,6.956109
91.0,91,6.968407
22.0,22,6.968464
18.0,18,6.978876
85.0,85,6.979512
79.0,79,6.986329
63.0,63,7.26424
52.0,52,7.268769
66.0,66,7.278457
15.0,15,7.278518
80.0,80,7.295304
68.0,68,7.308291
36.0,36,7.319583
73.0,73,7.326936
11.0,11,7.327002
49.0,49,7.341802
17.0,17,7.353284
46.0,46,7.357988
130.0,130,7.365116
46.0,46,7.394231
66.0,66,7.399735
83.0,83,7.405804
26.0,26,7.410055
27.0,27,7.416122
174.0,174,7.437983
58.0,58,7.441728
36.0,36,7.459048
21.0,21,7.470782
57.0,57,7.474265
131.0,131,7.4928
44.0,44,7.499344
156.0,156,7.501668
28.0,28,7.508998
35.0,35,7.530992
104.0,104,7.532375
92.0,92,7.555872
51.0,51,7.56116
29.0,29,7.838173
115.0,115,7.859469
79.0,79,7.864692
106.0,106,7.906623
66.0,66,7.907352
247.0,247,7.911314
83.0,83,7.913308
23.0,23,7.926641
63.0,63,7.94886
53.0,53,7.981148
108.0,108,7.981844
146.0,146,7.998813
118.0,118,8.000109
43.0,43,8.007367
61.0,61,8.018334
22.0,22,8.030679
102.0,102,8.058392
142.0,142,8.079582
92.0,92,8.082432
165.0,165,8.100239
36.0,36,8.102525
59.0,59,8.112622
120.0,120,8.12562
64.0,64,8.397982
23.0,23,8.413086
68.0,68,8.415122
96.0,96,8.421604
105.0,105,8.454376
62.0,62,8.455773
66.0,66,8.456485
17.0,17,8.465575
33.0,33,8.477861
116.0,116,8.497033
81.0,81,8.508531
41.0,41,8.523293
14.0,14,8.531768
59.0,59,8.545167
24.0,24,8.559993
147.0,147,8.570356
66.0,66,8.57287
182.0,182,8.579583
16.0,16,8.588643
91.0,91,8.62173
90.0,90,8.623462
117.0,117,8.62693
46.0,46,8.647517
47.0,47,8.649826
122.0,122,8.657099
37.0,37,8.668906
51.0,51,8.679088
50.0,50,8.957617
39.0,39,8.982888
173.0,173,8.989612
177.0,177,9.02697
140.0,140,9.079986
229.0,229,9.084966
114.0,114,9.099444
79.0,79,9.12805
230.0,230,9.128736
103.0,103,9.160137
71.0,71,9.169205
79.0,79,9.173204
162.0,162,9.18009
28.0,28,9.189162
39.0,39,9.191518
127.0,127,9.232673
130.0,130,9.527214
185.0,185,9.560203
207.0,207,9.564102
137.0,137,9.578218
44.0,44,9.588775
75.0,75,9.61267
85.0,85,9.633877
28.0,28,9.651321
218.0,218,9.667099
108.0,108,9.680281
40.0,40,9.704164
197.0,197,9.710873
94.0,94,9.722489
78.0,78,9.748552
76.0,76,9.75417
77.0,77,9.791758
246.0,246,9.793499
264.0,264,10.138959
141.0,141,10.139032
218.0,218,10.145549
173.0,173,10.161722
115.0,115,10.219041
120.0,120,10.237738
155.0,155,10.237807
282.0,282,10.310373
172.0,172,10.318792
183.0,183,10.341617
75.0,75,10.352199
213.0,213,10.358511
184.0,184,10.688625
178.0,178,10.71122
173.0,173,10.720281
85.0,85,10.774843
177.0,177,10.800942
308.0,308,10.811865
204.0,204,10.837478
145.0,145,10.860049
123.0,123,10.881801
184.0,184,10.905749
197.0,197,11.234896
125.0,125,11.241426
186.0,186,11.253076
265.0,265,11.253138
64.0,64,11.294241
118.0,118,11.329295
169.0,169,11.343065
183.0,183,11.357542
188.0,188,11.408082
190.0,190,11.453054
182.0,182,11.462184
109.0,109,11.470147
256.0,256,11.477494
172.0,172,11.822625
168.0,168,11.830488
154.0,154,11.838951
212.0,212,11.868189
140.0,140,11.92805
194.0,194,11.952704
54.0,54,11.960071
239.0,239,11.971395
288.0,288,12.038103
157.0,157,12.048153
179.0,179,12.053232
39.0,39,12.059978
275.0,275,12.39435
58.0,58,12.432246
227.0,227,12.465721
251.0,251,12.467587
242.0,242,12.467642
153.0,153,12.526278
107.0,107,12.529714
49.0,49,12.557316
46.0,46,12.58317
210.0,210,12.589436
267.0,267,12.621589
225.0,225,12.991237
231.0,231,13.031342
347.0,347,13.060608
457.0,457,13.066006
188.0,188,13.105138
241.0,241,13.169995
229.0,229,13.195054
256.0,256,13.518199
135.0,135,13.544057
184.0,184,13.546736
387.0,387,13.55323
209.0,209,13.672068
221.0,221,13.686743
289.0,289,13.694598
261.0,261,13.703584
131.0,131,13.745437
195.0,195,14.07058
