# {"t_start": 1558290182.767275} 
r,l,t
7.0,7,0.019914
8.0,8,0.020608
12.0,12,0.023128
9.0,9,0.025384
20.0,20,0.027775
14.0,14,0.028949
11.0,11,0.034733
15.0,15,0.034792
9.0,9,0.034819
22.0,22,0.036603
7.0,7,0.038986
8.0,8,0.039629
10.0,10,0.042563
11.0,11,0.045494
8.0,8,0.047274
15.0,15,0.048508
28.0,28,0.051602
18.0,18,0.058489
23.0,23,0.058541
22.0,22,0.059652
28.0,28,0.066749
7.0,7,0.070499
23.0,23,0.072121
27.0,27,0.073247
9.0,9,0.076964
34.0,34,0.077009
11.0,11,0.079149
16.0,16,0.079192
10.0,10,0.082512
7.0,7,0.083135
10.0,10,0.084802
15.0,15,0.085383
12.0,12,0.089683
10.0,10,0.090275
15.0,15,0.090863
13.0,13,0.092495
18.0,18,0.100123
21.0,21,0.102297
20.0,20,0.103448
26.0,26,0.104078
10.0,10,0.105849
12.0,12,0.11068
9.0,9,0.11073
13.0,13,0.110756
8.0,8,0.115197
10.0,10,0.116544
5.0,5,0.118209
20.0,20,0.122257
41.0,41,0.125506
17.0,17,0.1261
18.0,18,0.128246
10.0,10,0.131868
19.0,19,0.133345
16.0,16,0.135346
7.0,7,0.137518
12.0,12,0.13918
18.0,18,0.139224
10.0,10,0.140924
12.0,12,0.144139
14.0,14,0.148595
25.0,25,0.15304
29.0,29,0.155198
21.0,21,0.15579
10.0,10,0.16058
10.0,10,0.161231
23.0,23,0.161274
10.0,10,0.166287
27.0,27,0.168034
9.0,9,0.172943
27.0,27,0.17615
7.0,7,0.176733
20.0,20,0.177325
33.0,33,0.179479
9.0,9,0.181748
11.0,11,0.182405
8.0,8,0.184052
13.0,13,0.186139
13.0,13,0.190544
10.0,10,0.195999
24.0,24,0.197126
21.0,21,0.197169
26.0,26,0.200508
9.0,9,0.201127
8.0,8,0.201746
11.0,11,0.203407
10.0,10,0.207206
11.0,11,0.207256
13.0,13,0.207826
17.0,17,0.212638
11.0,11,0.213241
11.0,11,0.213828
14.0,14,0.215024
11.0,11,0.219491
10.0,10,0.219546
13.0,13,0.221795
7.0,7,0.223434
9.0,9,0.224602
21.0,21,0.227301
11.0,11,0.227905
8.0,8,0.227946
7.0,7,0.228559
12.0,12,0.235119
12.0,12,0.235736
17.0,17,0.237948
20.0,20,0.239074
19.0,19,0.245816
13.0,13,0.246417
23.0,23,0.248737
19.0,19,0.248789
10.0,10,0.251513
9.0,9,0.253667
14.0,14,0.256343
8.0,8,0.258008
24.0,24,0.259669
20.0,20,0.262339
13.0,13,0.263453
12.0,12,0.264623
8.0,8,0.266922
11.0,11,0.26973
9.0,9,0.26978
21.0,21,0.271407
15.0,15,0.275122
12.0,12,0.276264
13.0,13,0.276855
18.0,18,0.281335
9.0,9,0.281389
16.0,16,0.284263
12.0,12,0.287996
12.0,12,0.288043
8.0,8,0.288692
24.0,24,0.29035
10.0,10,0.295608
6.0,6,0.298932
7.0,7,1.594449
27.0,27,1.595191
31.0,31,1.597121
32.0,32,1.597801
9.0,9,1.600539
10.0,10,1.60185
7.0,7,1.606272
15.0,15,1.607036
12.0,12,1.608566
16.0,16,1.60863
11.0,11,1.615877
13.0,13,1.615942
14.0,14,1.617886
17.0,17,1.618014
6.0,6,1.622641
11.0,11,1.627383
11.0,11,1.631477
32.0,32,1.639124
33.0,33,1.639856
13.0,13,1.63991
25.0,25,1.643683
12.0,12,1.647316
10.0,10,1.649819
11.0,11,1.654104
25.0,25,1.655442
11.0,11,1.656755
14.0,14,1.664243
40.0,40,1.664299
17.0,17,1.664971
12.0,12,1.67244
9.0,9,1.678087
36.0,36,1.679387
28.0,28,1.681922
29.0,29,1.682634
10.0,10,1.685924
8.0,8,1.687199
9.0,9,1.691801
14.0,14,1.69186
22.0,22,1.69252
17.0,17,1.703077
20.0,20,1.704421
28.0,28,1.705189
28.0,28,1.711329
10.0,10,1.711821
7.0,7,1.711868
13.0,13,1.716271
14.0,14,1.722714
17.0,17,1.725175
16.0,16,1.727983
25.0,25,1.730847
10.0,10,1.732327
22.0,22,1.738619
20.0,20,1.741864
19.0,19,1.745093
16.0,16,1.748734
30.0,30,1.750676
16.0,16,1.751825
8.0,8,1.753541
18.0,18,1.755887
10.0,10,1.757651
16.0,16,1.759912
5.0,5,1.760535
11.0,11,1.762281
11.0,11,1.768557
20.0,20,1.771521
34.0,34,1.773307
23.0,23,1.773921
14.0,14,1.776815
8.0,8,1.778589
16.0,16,1.780886
11.0,11,1.783119
9.0,9,1.785983
24.0,24,1.787161
14.0,14,1.79138
11.0,11,1.793747
26.0,26,1.80107
41.0,41,1.802235
20.0,20,1.802854
18.0,18,1.804032
10.0,10,1.809181
11.0,11,1.80924
14.0,14,1.812737
11.0,11,1.815617
29.0,29,1.818532
17.0,17,1.819148
9.0,9,1.823724
15.0,15,1.827678
35.0,35,1.832742
12.0,12,1.83447
33.0,33,1.834516
20.0,20,1.835111
10.0,10,1.840225
17.0,17,1.84252
18.0,18,1.844849
12.0,12,1.84713
11.0,11,1.848869
9.0,9,1.850038
29.0,29,1.851804
8.0,8,1.853545
18.0,18,1.858088
7.0,7,1.862052
17.0,17,1.863791
24.0,24,1.866106
8.0,8,1.868403
