# {"t_start": 1558274519.6039622} 
r,l,t
8.0,8,0.019329
11.0,11,0.021027
16.0,16,0.023708
16.0,16,0.029794
15.0,15,0.031979
24.0,24,0.032569
34.0,34,0.033654
18.0,18,0.039414
20.0,20,0.042662
21.0,21,0.043779
9.0,9,0.047489
22.0,22,0.051469
16.0,16,0.052611
39.0,39,0.05481
10.0,10,0.058095
21.0,21,0.059212
13.0,13,0.06187
22.0,22,0.063502
12.0,12,0.064607
11.0,11,0.065192
14.0,14,0.069524
18.0,18,0.075025
27.0,27,0.078905
31.0,31,0.091668
29.0,29,0.094349
55.0,55,0.095484
14.0,14,0.102205
21.0,21,0.103355
20.0,20,0.106661
67.0,67,0.10671
17.0,17,0.112939
15.0,15,0.115411
15.0,15,0.115465
27.0,27,0.117598
11.0,11,0.121298
17.0,17,0.126538
29.0,29,0.128676
17.0,17,0.130312
31.0,31,0.131935
14.0,14,0.134062
16.0,16,0.137396
14.0,14,0.138006
15.0,15,0.140179
10.0,10,0.143532
19.0,19,0.14465
12.0,12,0.149961
28.0,28,0.152647
27.0,27,0.154891
15.0,15,0.158122
31.0,31,0.161295
23.0,23,0.165005
16.0,16,0.166666
28.0,28,0.169899
18.0,18,0.171
13.0,13,0.172109
12.0,12,0.173225
16.0,16,0.178779
22.0,22,0.184561
10.0,10,0.185676
22.0,22,0.186796
34.0,34,0.192083
11.0,11,0.192675
13.0,13,0.192715
10.0,10,0.197474
13.0,13,0.199701
32.0,32,0.201937
24.0,24,0.205706
17.0,17,0.20685
15.0,15,0.208008
8.0,8,0.21024
13.0,13,0.214029
13.0,13,0.215328
11.0,11,0.216512
16.0,16,0.222821
13.0,13,0.223414
39.0,39,0.223455
12.0,12,0.229702
17.0,17,0.232355
39.0,39,0.236198
28.0,28,0.237836
12.0,12,0.238958
23.0,23,0.242207
15.0,15,0.24438
16.0,16,0.246561
20.0,20,0.250001
12.0,12,0.253204
22.0,22,0.254313
8.0,8,0.257643
33.0,33,0.262416
24.0,24,0.262995
14.0,14,0.265137
30.0,30,0.270496
13.0,13,0.272136
19.0,19,0.280766
37.0,37,0.28245
36.0,36,0.282498
22.0,22,0.284237
9.0,9,0.287452
14.0,14,0.288554
21.0,21,1.790973
16.0,16,1.793532
13.0,13,1.799105
26.0,26,1.801022
36.0,36,1.802343
13.0,13,1.809176
21.0,21,1.812205
11.0,11,1.819073
43.0,43,1.820387
12.0,12,1.826548
34.0,34,1.830247
48.0,48,1.832139
25.0,25,1.835806
10.0,10,1.83648
10.0,10,1.842054
18.0,18,1.843347
16.0,16,1.846499
38.0,38,1.850142
13.0,13,1.85142
17.0,17,1.857045
33.0,33,1.862639
19.0,19,1.863306
11.0,11,1.863988
33.0,33,1.870719
9.0,9,1.876227
31.0,31,1.882377
12.0,12,1.883678
41.0,41,1.888184
12.0,12,1.890076
16.0,16,1.898249
55.0,55,1.898309
17.0,17,1.900811
29.0,29,1.90211
15.0,15,1.907728
16.0,16,1.908412
13.0,13,1.916393
26.0,26,1.917098
19.0,19,1.919554
30.0,30,1.920844
13.0,13,1.925201
15.0,15,1.930185
20.0,20,1.932116
14.0,14,1.934169
37.0,37,1.939779
14.0,14,1.941099
10.0,10,1.945924
35.0,35,1.95203
30.0,30,1.95273
13.0,13,1.959647
10.0,10,1.964968
24.0,24,1.96502
9.0,9,1.969812
50.0,50,1.973601
62.0,62,1.975742
23.0,23,1.977364
10.0,10,1.979024
11.0,11,1.983368
27.0,27,1.984472
17.0,17,1.985048
11.0,11,1.990995
14.0,14,1.992115
26.0,26,1.993216
11.0,11,1.997978
24.0,24,2.005939
44.0,44,2.007084
30.0,30,2.007134
28.0,28,2.013009
14.0,14,2.013601
18.0,18,2.017046
19.0,19,2.017668
9.0,9,2.022136
11.0,11,2.023918
19.0,19,2.024553
22.0,22,2.025717
11.0,11,2.030763
18.0,18,2.034204
17.0,17,2.040354
28.0,28,2.041583
37.0,37,2.043302
20.0,20,2.045655
8.0,8,2.047987
25.0,25,2.055899
27.0,27,2.063221
22.0,22,2.068359
44.0,44,2.070715
15.0,15,2.071884
58.0,58,2.073887
8.0,8,2.078556
13.0,13,2.079736
17.0,17,2.080907
25.0,25,2.338238
19.0,19,2.348089
17.0,17,2.359228
35.0,35,2.361268
16.0,16,2.369694
56.0,56,2.371091
26.0,26,2.378212
14.0,14,2.380611
17.0,17,2.381341
74.0,74,2.382068
16.0,16,2.391742
17.0,17,2.393084
23.0,23,2.395723
29.0,29,2.39774
14.0,14,2.402291
20.0,20,2.404943
12.0,12,2.405654
17.0,17,2.413732
13.0,13,2.413793
30.0,30,2.415795
11.0,11,2.422967
24.0,24,2.429475
11.0,11,2.430194
44.0,44,2.434774
20.0,20,2.442657
47.0,47,2.444667
37.0,37,2.459088
44.0,44,2.459155
48.0,48,2.475443
54.0,54,2.477342
31.0,31,2.478618
17.0,17,2.48594
24.0,24,2.493196
17.0,17,2.496207
7.0,7,2.500491
44.0,44,2.504241
74.0,74,2.504913
24.0,24,2.507972
16.0,16,2.510457
