# {"t_start": 1558369994.928986} 
r,l,t
21.0,21,2.278079
12.0,12,2.280607
9.0,9,2.283803
23.0,23,2.2851
11.0,11,2.287596
29.0,29,2.28831
8.0,8,2.290297
15.0,15,2.293413
12.0,12,2.295904
20.0,20,2.300273
13.0,13,2.301557
10.0,10,2.302239
12.0,12,2.307908
17.0,17,2.312435
15.0,15,2.316537
26.0,26,2.317175
6.0,6,2.320581
54.0,54,2.323094
24.0,24,2.326493
14.0,14,2.329098
21.0,21,2.329154
11.0,11,2.329859
12.0,12,2.333901
14.0,14,2.337996
22.0,22,2.342023
25.0,25,2.343769
19.0,19,2.348981
16.0,16,2.351733
14.0,14,2.352369
34.0,34,2.354361
10.0,10,2.35553
12.0,12,2.359482
9.0,9,2.359534
15.0,15,2.364132
24.0,24,2.365924
11.0,11,2.365973
17.0,17,2.373915
15.0,15,2.374538
19.0,19,2.377065
33.0,33,2.378842
14.0,14,2.382245
14.0,14,2.382867
18.0,18,2.388309
28.0,28,2.396865
27.0,27,2.400301
20.0,20,2.401064
9.0,9,2.405645
16.0,16,2.406276
18.0,18,2.411677
13.0,13,2.413427
14.0,14,2.41462
7.0,7,2.41767
13.0,13,2.419404
22.0,22,2.427532
18.0,18,2.428169
79.0,79,2.430578
22.0,22,2.432391
8.0,8,2.433091
11.0,11,2.438821
14.0,14,2.438877
13.0,13,2.44084
27.0,27,2.443688
8.0,8,2.443739
19.0,19,2.664695
25.0,25,2.672016
34.0,34,2.677953
46.0,46,2.680845
14.0,14,2.68158
26.0,26,2.682312
10.0,10,2.685109
10.0,10,2.689519
22.0,22,2.696904
16.0,16,2.70117
22.0,22,2.701238
20.0,20,2.710359
20.0,20,2.714495
21.0,21,2.715223
51.0,51,2.717216
13.0,13,2.72379
27.0,27,2.732319
27.0,27,2.735006
18.0,18,2.735823
39.0,39,2.73657
8.0,8,2.742454
15.0,15,2.745884
14.0,14,2.745945
27.0,27,2.751229
10.0,10,2.752631
8.0,8,2.756602
7.0,7,2.757472
22.0,22,2.76083
9.0,9,2.762859
9.0,9,2.763595
9.0,9,2.766937
10.0,10,2.770271
45.0,45,2.772897
13.0,13,2.77581
26.0,26,2.780428
15.0,15,2.783081
12.0,12,2.783807
7.0,7,2.785252
30.0,30,2.790436
18.0,18,2.794915
19.0,19,2.79741
13.0,13,2.798752
28.0,28,2.80198
5.0,5,2.805092
17.0,17,2.805777
12.0,12,2.806463
21.0,21,2.810845
10.0,10,2.812113
12.0,12,2.81279
14.0,14,2.815319
11.0,11,2.817818
14.0,14,2.821467
15.0,15,2.827085
16.0,16,2.83158
31.0,31,2.834763
13.0,13,2.835457
37.0,37,2.835504
6.0,6,2.838793
7.0,7,2.840073
18.0,18,2.842912
13.0,13,2.843538
12.0,12,2.845815
8.0,8,2.847736
13.0,13,2.847786
9.0,9,2.851179
15.0,15,2.852356
11.0,11,2.85409
12.0,12,2.854771
8.0,8,2.858912
9.0,9,2.860092
18.0,18,2.861836
17.0,17,2.86245
12.0,12,2.865988
7.0,7,2.869952
17.0,17,2.870003
14.0,14,2.870681
17.0,17,2.871978
10.0,10,2.876482
21.0,21,2.882329
11.0,11,2.882963
9.0,9,2.888282
11.0,11,2.888922
34.0,34,2.89176
12.0,12,2.895861
14.0,14,2.896493
16.0,16,2.900993
7.0,7,2.905085
16.0,16,2.905717
18.0,18,2.906339
6.0,6,2.909186
68.0,68,2.909797
9.0,9,2.910499
8.0,8,2.913951
7.0,7,2.914003
11.0,11,2.920403
16.0,16,2.923268
31.0,31,2.924457
11.0,11,2.929775
12.0,12,2.931542
21.0,21,2.932695
39.0,39,2.933301
14.0,14,2.939687
18.0,18,2.943773
10.0,10,2.945516
22.0,22,2.945563
29.0,29,2.94673
15.0,15,2.954106
18.0,18,2.955849
22.0,22,2.956452
27.0,27,2.962331
12.0,12,2.962962
8.0,8,2.967061
19.0,19,2.967688
12.0,12,2.96999
30.0,30,2.971735
11.0,11,3.186642
17.0,17,3.19001
13.0,13,3.190772
8.0,8,3.192158
8.0,8,3.195501
21.0,21,3.198282
15.0,15,3.202402
12.0,12,3.203799
14.0,14,3.207809
27.0,27,3.209195
10.0,10,3.21579
12.0,12,3.21585
23.0,23,3.217859
28.0,28,3.222728
15.0,15,3.226313
14.0,14,3.228124
13.0,13,3.232093
25.0,25,3.233496
9.0,9,3.239613
18.0,18,3.240338
13.0,13,3.241047
12.0,12,3.248227
14.0,14,3.248951
8.0,8,3.254291
41.0,41,3.254351
16.0,16,3.258914
8.0,8,3.259651
30.0,30,3.261036
13.0,13,3.26306
7.0,7,3.264423
10.0,10,3.267697
15.0,15,3.269094
19.0,19,3.277037
22.0,22,3.27778
14.0,14,3.278505
20.0,20,3.281158
8.0,8,3.28254
10.0,10,3.284555
16.0,16,3.289466
13.0,13,3.29021
11.0,11,3.290258
10.0,10,3.291624
11.0,11,3.297016
18.0,18,3.303942
20.0,20,3.30401
26.0,26,3.30793
16.0,16,3.307989
6.0,6,3.308021
12.0,12,3.31565
15.0,15,3.317673
25.0,25,3.320213
25.0,25,3.323883
17.0,17,3.326528
16.0,16,3.334021
24.0,24,3.335327
21.0,21,3.339655
38.0,38,3.341734
16.0,16,3.345481
22.0,22,3.348022
11.0,11,3.348897
16.0,16,3.350603
10.0,10,3.354914
12.0,12,3.359027
16.0,16,3.360378
30.0,30,3.367385
13.0,13,3.368577
13.0,13,3.36981
21.0,21,3.370457
8.0,8,3.372785
8.0,8,3.374812
20.0,20,3.383948
29.0,29,3.391168
33.0,33,3.395142
36.0,36,3.399357
25.0,25,3.401101
17.0,17,3.402298
11.0,11,3.402938
15.0,15,3.412235
20.0,20,3.412295
16.0,16,3.414293
8.0,8,3.419052
11.0,11,3.419757
11.0,11,3.419811
12.0,12,3.427723
14.0,14,3.428689
10.0,10,3.435169
24.0,24,3.435875
16.0,16,3.438764
14.0,14,3.444583
11.0,11,3.445285
9.0,9,3.449863
14.0,14,3.453711
88.0,88,3.458666
41.0,41,3.461289
11.0,11,3.461345
13.0,13,3.469185
23.0,23,3.474513
39.0,39,3.476287
10.0,10,3.48213
21.0,21,3.48698
