# {"t_start": 1558277167.116173} 
r,l,t
12.0,12,0.02283
18.0,18,0.026551
25.0,25,0.030431
19.0,19,0.033779
20.0,20,0.03763
12.0,12,0.040423
22.0,22,0.042631
47.0,47,0.042677
14.0,14,0.0454
8.0,8,0.047098
19.0,19,0.050939
17.0,17,0.054702
24.0,24,0.055917
20.0,20,0.058111
15.0,15,0.06407
19.0,19,0.065209
18.0,18,0.067919
16.0,16,0.072678
13.0,13,0.074844
19.0,19,0.075437
15.0,15,0.081431
56.0,56,0.082032
17.0,17,0.084823
26.0,26,0.09568
37.0,37,0.096285
26.0,26,0.099111
17.0,17,0.10541
25.0,25,0.110271
25.0,25,0.113021
14.0,14,0.113069
64.0,64,0.117557
11.0,11,0.119249
18.0,18,0.120412
15.0,15,0.125839
14.0,14,0.126955
15.0,15,0.1286
32.0,32,0.130823
12.0,12,0.132459
22.0,22,0.140485
27.0,27,0.141624
12.0,12,0.148024
31.0,31,0.149159
35.0,35,0.149753
22.0,22,0.152544
11.0,11,0.154199
9.0,9,0.154803
16.0,16,0.161329
19.0,19,0.164587
19.0,19,0.165212
21.0,21,0.172761
18.0,18,0.174444
24.0,24,0.178179
13.0,13,0.181287
14.0,14,0.187314
13.0,13,0.188445
33.0,33,0.193983
15.0,15,0.19564
14.0,14,0.196239
88.0,88,0.198936
18.0,18,0.205387
21.0,21,0.205436
15.0,15,0.207114
36.0,36,0.216007
21.0,21,0.217154
23.0,23,0.219831
36.0,36,0.225145
20.0,20,0.226824
14.0,14,0.227435
30.0,30,0.233423
11.0,11,0.233471
18.0,18,0.2368
13.0,13,0.24055
15.0,15,0.241665
38.0,38,0.24602
21.0,21,0.248378
17.0,17,0.251099
27.0,27,0.255934
15.0,15,0.257068
24.0,24,0.259761
17.0,17,0.260958
11.0,11,0.263197
15.0,15,0.264319
17.0,17,0.269113
16.0,16,0.271793
8.0,8,0.273453
25.0,25,0.274579
18.0,18,0.284312
24.0,24,0.286499
43.0,43,0.28783
12.0,12,0.291261
41.0,41,1.462925
14.0,14,1.463016
16.0,16,1.465702
18.0,18,1.476981
32.0,32,1.479546
33.0,33,1.483898
22.0,22,1.490807
23.0,23,1.498294
21.0,21,1.503977
69.0,69,1.50652
22.0,22,1.512193
13.0,13,1.512247
54.0,54,1.513526
12.0,12,1.51982
14.0,14,1.522363
32.0,32,1.526793
25.0,25,1.528168
9.0,9,1.532603
11.0,11,1.539452
31.0,31,1.539505
13.0,13,1.547499
16.0,16,1.549402
34.0,34,1.54945
52.0,52,1.555113
11.0,11,1.556394
15.0,15,1.55708
20.0,20,1.562107
19.0,19,1.567333
18.0,18,1.568053
15.0,15,1.571957
34.0,34,1.579134
18.0,18,1.579201
25.0,25,1.584277
15.0,15,1.588629
15.0,15,1.588685
17.0,17,1.594917
12.0,12,1.596195
47.0,47,1.601985
11.0,11,1.603311
20.0,20,1.607659
32.0,32,1.608979
10.0,10,1.609648
17.0,17,1.612785
9.0,9,1.615329
10.0,10,1.619068
19.0,19,1.619765
32.0,32,1.628658
18.0,18,1.629908
22.0,22,1.632778
30.0,30,1.633431
12.0,12,1.636874
17.0,17,1.638679
14.0,14,1.640992
19.0,19,1.648756
28.0,28,1.650583
21.0,21,1.651768
20.0,20,1.653555
10.0,10,1.657648
21.0,21,1.663108
30.0,30,1.666572
10.0,10,1.668895
26.0,26,1.668943
31.0,31,1.675769
18.0,18,1.679236
28.0,28,1.682662
25.0,25,1.683302
13.0,13,1.683343
14.0,14,1.691264
20.0,20,1.694677
29.0,29,1.695856
12.0,12,1.698192
36.0,36,1.703433
16.0,16,1.705212
19.0,19,1.705822
14.0,14,1.713214
16.0,16,1.714971
21.0,21,1.71561
16.0,16,1.722454
17.0,17,1.725311
10.0,10,1.728195
55.0,55,1.729933
28.0,28,1.731147
23.0,23,1.743176
33.0,33,1.74438
31.0,31,1.746154
31.0,31,1.749038
8.0,8,1.749085
11.0,11,1.749693
23.0,23,1.759425
27.0,27,1.767049
35.0,35,2.03909
33.0,33,2.049655
26.0,26,2.051694
20.0,20,2.05243
71.0,71,2.062852
32.0,32,2.073352
20.0,20,2.076119
41.0,41,2.076856
13.0,13,2.082457
18.0,18,2.089042
29.0,29,2.095619
11.0,11,2.096366
27.0,27,2.100334
74.0,74,2.101115
22.0,22,2.110319
21.0,21,2.110383
28.0,28,2.118923
23.0,23,2.125503
21.0,21,2.132708
16.0,16,2.136016
16.0,16,2.143405
15.0,15,2.146083
73.0,73,2.149395
12.0,12,2.151813
63.0,63,2.152522
16.0,16,2.16234
15.0,15,2.162402
31.0,31,2.166694
16.0,16,2.172202
12.0,12,2.174057
46.0,46,2.179001
15.0,15,2.181556
13.0,13,2.187119
22.0,22,2.187812
43.0,43,2.189115
12.0,12,2.189162
12.0,12,2.196547
27.0,27,2.20575
22.0,22,2.210041
38.0,38,2.210752
44.0,44,2.215164
18.0,18,2.221461
18.0,18,2.225424
32.0,32,2.229164
17.0,17,2.235394
13.0,13,2.236612
15.0,15,2.244026
16.0,16,2.245801
43.0,43,2.246425
10.0,10,2.252015
18.0,18,2.25435
16.0,16,2.254961
86.0,86,2.256543
13.0,13,2.262917
14.0,14,2.264722
21.0,21,2.267022
33.0,33,2.27159
24.0,24,2.278396
28.0,28,2.27909
28.0,28,2.283035
20.0,20,2.283078
14.0,14,2.286472
15.0,15,2.291576
24.0,24,2.292741
26.0,26,2.297811
16.0,16,2.301812
39.0,39,2.308531
24.0,24,2.311386
11.0,11,2.314798
50.0,50,2.319927
28.0,28,2.330595
26.0,26,2.334578
58.0,58,2.334621
43.0,43,2.335809
11.0,11,2.336978
15.0,15,2.343335
18.0,18,2.60977
29.0,29,2.618483
20.0,20,2.619867
30.0,30,2.629879
15.0,15,2.629945
51.0,51,2.630652
17.0,17,2.641754
19.0,19,2.642492
23.0,23,2.645157
16.0,16,2.653095
12.0,12,2.653158
38.0,38,2.666782
86.0,86,2.67523
38.0,38,2.677898
47.0,47,2.683852
32.0,32,2.687809
22.0,22,2.692549
16.0,16,2.69458
11.0,11,2.695311
13.0,13,2.70372
20.0,20,2.705763
14.0,14,2.713247
31.0,31,2.715292
19.0,19,2.718625
16.0,16,2.725983
80.0,80,2.728687
19.0,19,2.731348
30.0,30,2.73335
13.0,13,2.734652
22.0,22,2.74267
20.0,20,2.744129
18.0,18,2.746092
16.0,16,2.752842
37.0,37,2.756621
27.0,27,2.760967
15.0,15,2.762239
11.0,11,2.763496
29.0,29,2.764178
22.0,22,2.776953
30.0,30,2.780642
28.0,28,2.781325
23.0,23,2.790909
17.0,17,2.790961
16.0,16,2.790987
53.0,53,2.793249
16.0,16,2.800043
24.0,24,2.806826
20.0,20,2.811584
38.0,38,2.812791
14.0,14,2.815082
16.0,16,2.824062
21.0,21,2.824692
