# {"t_start": 1558865923.261743} 
r,l,t
17.0,17,0.028251
21.0,21,0.030945
25.0,25,0.033197
11.0,11,0.037539
34.0,34,0.039137
15.0,15,0.042995
21.0,21,0.053112
44.0,44,0.057137
26.0,26,0.060402
39.0,39,0.063824
19.0,19,0.065716
11.0,11,0.067714
17.0,17,0.068404
13.0,13,0.07459
21.0,21,0.078022
18.0,18,0.080767
15.0,15,0.089513
25.0,25,0.090115
13.0,13,0.097247
17.0,17,0.098914
63.0,63,0.1052
19.0,19,0.107493
30.0,30,0.114896
16.0,16,0.116134
73.0,73,0.118852
11.0,11,0.120963
31.0,31,0.122234
16.0,16,0.124876
17.0,17,0.128347
16.0,16,0.130942
25.0,25,0.134581
12.0,12,0.134627
19.0,19,0.1353
16.0,16,0.139886
14.0,14,0.142493
14.0,14,0.143132
17.0,17,0.144323
14.0,14,0.150058
15.0,15,0.151237
22.0,22,0.151888
11.0,11,0.157242
13.0,13,0.158936
32.0,32,0.161824
30.0,30,0.166408
15.0,15,0.16699
18.0,18,0.171555
33.0,33,0.175249
12.0,12,0.178124
23.0,23,0.179727
25.0,25,0.180318
18.0,18,0.185299
11.0,11,0.185895
11.0,11,0.191096
16.0,16,0.195829
43.0,43,0.205074
26.0,26,0.206711
61.0,61,0.212771
15.0,15,0.213356
14.0,14,0.214617
35.0,35,0.215213
16.0,16,0.222301
18.0,18,0.222886
16.0,16,0.22345
16.0,16,0.224027
11.0,11,0.228455
11.0,11,0.229069
9.0,9,0.229113
22.0,22,0.236425
13.0,13,0.237047
14.0,14,0.237631
19.0,19,0.239707
12.0,12,0.244235
12.0,12,0.246707
18.0,18,0.24731
15.0,15,0.254407
35.0,35,0.257524
13.0,13,0.26156
11.0,11,0.263667
32.0,32,0.265821
12.0,12,0.268218
35.0,35,0.26827
17.0,17,0.277617
26.0,26,0.278218
24.0,24,0.281334
12.0,12,0.28424
14.0,14,0.29078
43.0,43,0.291531
24.0,24,0.293144
32.0,32,0.303032
29.0,29,0.306278
29.0,29,0.306956
17.0,17,1.529617
48.0,48,1.535317
23.0,23,1.536207
32.0,32,1.537882
14.0,14,1.541278
12.0,12,1.544147
16.0,16,1.549228
24.0,24,1.562212
12.0,12,1.563551
27.0,27,1.568121
16.0,16,1.573837
35.0,35,1.5764
13.0,13,1.581971
11.0,11,1.583635
34.0,34,1.586824
14.0,14,1.591228
47.0,47,1.600147
18.0,18,1.604801
37.0,37,1.609202
20.0,20,1.613534
19.0,19,1.61755
19.0,19,1.622116
13.0,13,1.622792
10.0,10,1.624173
17.0,17,1.633095
19.0,19,1.635011
73.0,73,1.63628
15.0,15,1.644369
32.0,32,1.644436
15.0,15,1.653819
16.0,16,1.654512
39.0,39,1.657695
38.0,38,1.660283
20.0,20,1.66696
19.0,19,1.671978
11.0,11,1.673926
27.0,27,1.674627
17.0,17,1.681888
46.0,46,1.681943
15.0,15,1.682501
15.0,15,1.683067
14.0,14,1.689291
15.0,15,1.690194
27.0,27,1.697908
19.0,19,1.700029
40.0,40,1.7043
32.0,32,1.716865
31.0,31,1.720746
61.0,61,1.72321
13.0,13,1.724297
49.0,49,1.724339
14.0,14,1.728832
17.0,17,1.732834
18.0,18,1.734777
21.0,21,1.736765
10.0,10,1.739129
11.0,11,1.743093
21.0,21,1.755374
46.0,46,1.755995
36.0,36,1.760267
16.0,16,1.764918
20.0,20,1.766519
19.0,19,1.770584
14.0,14,1.775871
16.0,16,1.782101
28.0,28,1.783446
12.0,12,1.784059
23.0,23,1.795103
22.0,22,1.795728
23.0,23,1.796851
108.0,108,1.799135
13.0,13,1.802479
14.0,14,1.803626
13.0,13,1.804211
17.0,17,1.808692
16.0,16,1.817604
26.0,26,1.818764
34.0,34,1.821507
53.0,53,1.833219
27.0,27,1.833805
34.0,34,2.065143
25.0,25,2.072805
24.0,24,2.072867
56.0,56,2.074808
32.0,32,2.085755
23.0,23,2.087753
26.0,26,2.089717
18.0,18,2.101302
21.0,21,2.10137
25.0,25,2.102013
43.0,43,2.10268
13.0,13,2.109669
13.0,13,2.111043
17.0,17,2.113097
9.0,9,2.116925
22.0,22,2.123875
42.0,42,2.128463
11.0,11,2.135407
40.0,40,2.138615
36.0,36,2.139958
29.0,29,2.142603
21.0,21,2.149254
23.0,23,2.153646
15.0,15,2.163486
32.0,32,2.163552
18.0,18,2.1751
59.0,59,2.178499
25.0,25,2.179883
49.0,49,2.181207
12.0,12,2.187304
20.0,20,2.187953
11.0,11,2.187996
17.0,17,2.189241
15.0,15,2.19668
12.0,12,2.203752
28.0,28,2.204976
32.0,32,2.207504
9.0,9,2.209362
49.0,49,2.218872
27.0,27,2.221365
17.0,17,2.229268
14.0,14,2.229984
17.0,17,2.241407
55.0,55,2.242556
21.0,21,2.253792
38.0,38,2.254614
77.0,77,2.257476
33.0,33,2.262178
16.0,16,2.26652
23.0,23,2.267317
31.0,31,2.27297
14.0,14,2.275174
23.0,23,2.28134
19.0,19,2.284458
38.0,38,2.285507
37.0,37,2.297214
31.0,31,2.303372
11.0,11,2.303983
38.0,38,2.30676
45.0,45,2.307887
16.0,16,2.315853
24.0,24,2.317835
19.0,19,2.31898
20.0,20,2.32705
19.0,19,2.328193
48.0,48,2.331301
25.0,25,2.333844
13.0,13,2.335562
23.0,23,2.343416
20.0,20,2.34411
13.0,13,2.344157
27.0,27,2.350903
19.0,19,2.354815
18.0,18,2.354866
16.0,16,2.360107
28.0,28,2.360989
15.0,15,2.36436
12.0,12,2.368316
15.0,15,2.369438
41.0,41,2.598529
19.0,19,2.600051
23.0,23,2.601759
30.0,30,2.601827
12.0,12,2.609096
15.0,15,2.610018
13.0,13,2.611553
16.0,16,2.61366
16.0,16,2.62002
15.0,15,2.620077
12.0,12,2.621372
18.0,18,2.631599
17.0,17,2.632334
32.0,32,2.632384
13.0,13,2.640666
15.0,15,2.641424
18.0,18,2.644042
51.0,51,2.653709
25.0,25,2.658823
31.0,31,2.66376
18.0,18,2.669917
17.0,17,2.674197
15.0,15,2.676901
54.0,54,2.68547
14.0,14,2.686201
32.0,32,2.692176
29.0,29,2.694228
11.0,11,2.699961
26.0,26,2.703377
15.0,15,2.712958
44.0,44,2.715387
27.0,27,2.717252
37.0,37,2.718563
30.0,30,2.733281
33.0,33,2.736916
42.0,42,2.738164
34.0,34,2.738807
8.0,8,2.741772
16.0,16,2.743012
11.0,11,2.745458
18.0,18,2.749139
17.0,17,2.759422
26.0,26,2.761353
32.0,32,2.762819
40.0,40,2.76688
14.0,14,2.770775
21.0,21,2.77323
19.0,19,2.778344
19.0,19,2.781696
19.0,19,2.783925
35.0,35,2.783971
17.0,17,2.787746
12.0,12,2.790635
31.0,31,2.801371
22.0,22,2.803067
44.0,44,2.806442
38.0,38,2.809389
19.0,19,2.812223
25.0,25,2.817347
22.0,22,2.824918
14.0,14,2.825744
11.0,11,2.831776
16.0,16,2.834117
56.0,56,2.838593
52.0,52,2.839177
17.0,17,2.843605
11.0,11,2.844758
18.0,18,2.849135
9.0,9,2.849895
39.0,39,2.853797
10.0,10,2.855499
12.0,12,2.856086
17.0,17,2.864899
19.0,19,2.86671
30.0,30,2.870658
51.0,51,2.872316
13.0,13,2.874205
21.0,21,2.877432
21.0,21,2.885442
21.0,21,2.887189
14.0,14,2.893431
21.0,21,2.899113
53.0,53,3.133124
31.0,31,3.136434
25.0,25,3.139047
75.0,75,3.140379
15.0,15,3.14313
24.0,24,3.152156
18.0,18,3.156013
36.0,36,3.16534
17.0,17,3.167388
32.0,32,3.174479
24.0,24,3.182817
69.0,69,3.185489
35.0,35,3.188137
13.0,13,3.191473
34.0,34,3.196612
17.0,17,3.199288
30.0,30,3.205505
32.0,32,3.212733
14.0,14,3.214718
29.0,29,3.218657
19.0,19,3.227026
24.0,24,3.228533
10.0,10,3.235151
30.0,30,3.238392
68.0,68,3.241826
15.0,15,3.248412
11.0,11,3.249147
29.0,29,3.254348
14.0,14,3.257494
15.0,15,3.258817
73.0,73,3.274058
26.0,26,3.274851
46.0,46,3.282947
20.0,20,3.287166
26.0,26,3.290252
64.0,64,3.296908
26.0,26,3.298859
19.0,19,3.298912
25.0,25,3.305552
26.0,26,3.320217
42.0,42,3.323368
61.0,61,3.333921
66.0,66,3.335079
35.0,35,3.341497
15.0,15,3.34538
36.0,36,3.347187
13.0,13,3.355032
28.0,28,3.356162
12.0,12,3.364555
47.0,47,3.383373
46.0,46,3.387555
16.0,16,3.394071
35.0,35,3.394679
12.0,12,3.401202
67.0,67,3.407385
13.0,13,3.408624
16.0,16,3.416939
44.0,44,3.420317
60.0,60,3.422793
28.0,28,3.42501
