ActualImprovement,AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExpectedImprovement,ExplainedVariance,ImprovementRatio,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
0.0067907869853058855,20.340425531914892,0.5006808042526245,0.4993191957473755,20.340425531914892,0.6931421160697937,0.006787467282265425,3.82904289264463e-06,1.0004890930449322,1,56,56.0,0.0009067546925507486,9,9.0,1.999990701675415,9.629910398700897,9.629910398700897,94,2000,205.35877990722656
0.007265730209653043,21.83,0.4976296126842499,0.5023704171180725,21.83,0.6922421455383301,0.0059587500989437105,-0.00036686542899588837,1.2193379633324473,2,61,61.0,0.0008394332835450768,8,8.0,1.9981913566589355,10.926165841684814,10.926165841684814,186,4000,206.74551391601562
0.008537835322321996,23.59,0.4996948838233948,0.5003049969673157,23.59,0.6899997591972351,0.007645587623119354,0.0017822840961685404,1.1167009971221296,3,89,89.0,0.0007642899290658534,9,9.0,1.9937264919281006,14.439594869663068,14.439594869663068,273,6000,242.74195861816406
0.00725663498416651,22.23,0.4911692440509796,0.5088307857513428,22.23,0.6860920190811157,0.006312739849090577,0.0047624962119224845,1.149522260958039,4,66,66.0,0.0006753639900125563,8,8.0,1.9859931468963623,11.77017841835883,11.77017841835883,362,8000,121.24050903320312
0.006325066141783964,24.83,0.49188342690467834,0.5081164836883545,24.83,0.6824883222579956,0.0058784522116184235,0.0042839347586602905,1.0759747488093607,5,87,87.0,0.0007674572407267988,9,9.0,1.978906512260437,13.218967433199918,13.218967433199918,441,10000,135.9769287109375
0.006946614302695053,30.27,0.49238383769989014,0.5076161623001099,30.27,0.6786190271377563,0.00653466209769249,0.020393289594194397,1.0630410874876042,6,96,96.0,0.0006585429655387998,10,10.0,1.9713741540908813,18.418390266252914,18.418390266252914,499,12000,238.8424072265625
0.007505568198858725,35.07,0.48643115162849426,0.5135684609413147,35.07,0.6717976331710815,0.007256471365690232,0.021284932705555426,1.0343275430460959,7,119,119.0,0.0006709431763738394,10,10.0,1.9581810235977173,23.25994625961118,23.25994625961118,555,14000,233.0480499267578
0.008599841468033276,39.63,0.4928262233734131,0.5071737170219421,39.63,0.6705335378646851,0.007888856530189515,0.05023271956051467,1.0901252209522285,8,119,119.0,0.0007321686716750264,9,9.0,1.9559184312820435,26.768509484093432,26.768509484093432,597,16000,343.2893981933594
0.008679802477359555,45.38,0.4996604025363922,0.5003395080566406,45.38,0.6652653813362122,0.008680149912834167,0.07078460608685455,0.9999599735628876,9,125,125.0,0.0009624892845749855,9,9.0,1.9458775520324707,29.21293549097728,29.21293549097728,635,18000,337.79669189453125
0.006919004321098043,47.83,0.5212859511375427,0.47871413826942444,47.83,0.6480047702789307,0.006454435735940934,0.0783516081257376,1.0719766381079916,10,156,156.0,0.0007199774263426661,10,10.0,1.9137407541275024,31.623110220217114,31.623110220217114,681,20000,290.2623291015625
0.009395316191017855,52.41,0.5032934546470642,0.496706485748291,52.41,0.6443995833396912,0.0095103420317173,0.09288672081923244,0.9879051836079259,11,175,175.0,0.0009938778821378946,10,10.0,1.9072840213775635,35.843575435494714,35.843575435494714,716,22000,413.9314270019531
0.00976243979937852,53.94,0.5015652179718018,0.49843475222587585,53.94,0.6337543725967407,0.009960304945707321,0.11791174958102535,0.9801346296717474,12,175,175.0,0.0009746948489919305,10,10.0,1.8879907131195068,36.7724951560266,36.7724951560266,747,24000,343.69189453125
0.010001593369990402,61.74,0.4702843427658081,0.5297152996063232,61.74,0.6205878257751465,0.010210895910859108,0.15332925877182824,0.9795020395177944,13,175,175.0,0.0009827520698308945,12,12.0,1.8651586771011353,40.549382239437385,40.549382239437385,774,26000,356.9801330566406
0.010414514636621242,66.37,0.4926445782184601,0.5073554515838623,66.37,0.615805447101593,0.010628443211317062,0.127966455748052,0.9798720687082345,14,175,175.0,0.0009601605124771595,8,8.0,1.8574590682983398,42.35461131919404,42.35461131919404,801,28000,426.2155456542969
