# {"t_start": 1558271979.2371998} 
r,l,t
16.0,16,0.025989
19.0,19,0.027692
21.0,21,0.02881
8.0,8,0.030433
30.0,30,0.033759
13.0,13,0.035933
15.0,15,0.038833
16.0,16,0.045165
8.0,8,0.049612
20.0,20,0.050204
31.0,31,0.051324
42.0,42,0.051364
7.0,7,0.055154
9.0,9,0.056665
16.0,16,0.059432
24.0,24,0.063172
9.0,9,0.064289
18.0,18,0.065534
15.0,15,0.07159
12.0,12,0.072326
31.0,31,0.074172
13.0,13,0.079008
9.0,9,0.079056
17.0,17,0.081738
8.0,8,0.086174
14.0,14,0.08681
20.0,20,0.090478
10.0,10,0.092778
14.0,14,0.09447
9.0,9,0.099896
19.0,19,0.10168
11.0,11,0.106348
79.0,79,0.109596
9.0,9,0.111229
22.0,22,0.114017
10.0,10,0.115127
45.0,45,0.11896
16.0,16,0.123617
15.0,15,0.124241
29.0,29,0.128297
9.0,9,0.133436
24.0,24,0.137172
11.0,11,0.139727
29.0,29,0.140874
11.0,11,0.145625
15.0,15,0.148978
8.0,8,0.150144
24.0,24,0.150747
11.0,11,0.156947
13.0,13,0.157572
17.0,17,0.158719
70.0,70,0.158761
13.0,13,0.165925
17.0,17,0.166538
14.0,14,0.166579
11.0,11,0.172608
14.0,14,0.174501
10.0,10,0.180088
26.0,26,0.180681
42.0,42,0.181269
17.0,17,0.182384
13.0,13,0.190134
19.0,19,0.192411
19.0,19,0.194743
23.0,23,0.195345
7.0,7,0.196442
16.0,16,0.203448
26.0,26,0.204636
15.0,15,0.212056
14.0,14,0.212668
32.0,32,0.213245
36.0,36,0.216644
21.0,21,0.224595
24.0,24,0.225812
16.0,16,0.225858
30.0,30,0.230106
10.0,10,0.231231
18.0,18,0.234472
17.0,17,0.235054
28.0,28,0.245542
30.0,30,0.247722
7.0,7,0.249366
29.0,29,0.251015
13.0,13,0.254935
12.0,12,0.256289
41.0,41,0.257524
12.0,12,0.258111
9.0,9,0.263129
11.0,11,0.263729
15.0,15,0.264874
18.0,18,0.265459
8.0,8,0.269892
13.0,13,0.271035
22.0,22,0.275637
20.0,20,0.276235
18.0,18,0.279999
12.0,12,0.282701
23.0,23,0.283816
15.0,15,0.283857
10.0,10,0.285611
13.0,13,0.290707
16.0,16,0.29346
20.0,20,0.295628
11.0,11,0.296731
9.0,9,0.298361
23.0,23,0.298956
11.0,11,0.301692
22.0,22,1.516026
17.0,17,1.516784
26.0,26,1.516837
27.0,27,1.519951
12.0,12,1.523947
21.0,21,1.530136
23.0,23,1.538227
17.0,17,1.540946
39.0,39,1.541657
19.0,19,1.550455
15.0,15,1.550519
17.0,17,1.552445
55.0,55,1.55518
11.0,11,1.5579
19.0,19,1.564773
14.0,14,1.566692
26.0,26,1.567364
8.0,8,1.569865
27.0,27,1.57267
11.0,11,1.577123
24.0,24,1.582121
15.0,15,1.591728
50.0,50,1.599318
36.0,36,1.599998
21.0,21,1.605149
11.0,11,1.607465
17.0,17,1.610695
60.0,60,1.611372
12.0,12,1.613387
9.0,9,1.617259
16.0,16,1.620981
13.0,13,1.621718
24.0,24,1.623248
10.0,10,1.623945
10.0,10,1.628574
14.0,14,1.633141
18.0,18,1.633204
9.0,9,1.638866
29.0,29,1.642287
30.0,30,1.652097
17.0,17,1.652791
40.0,40,1.654057
29.0,29,1.657526
10.0,10,1.659447
14.0,14,1.663194
22.0,22,1.66647
15.0,15,1.66716
8.0,8,1.668446
14.0,14,1.668492
12.0,12,1.674821
13.0,13,1.67488
14.0,14,1.677184
13.0,13,1.68454
20.0,20,1.686373
32.0,32,1.687581
9.0,9,1.691943
11.0,11,1.698256
41.0,41,1.698896
21.0,21,1.700063
30.0,30,1.702433
10.0,10,1.706205
13.0,13,1.706992
14.0,14,1.70704
9.0,9,1.712112
22.0,22,1.719456
23.0,23,1.719512
34.0,34,1.722647
19.0,19,1.723435
11.0,11,1.726361
