# {"t_start": 1558277594.039026} 
r,l,t
11.0,11,0.03846
13.0,13,0.039631
16.0,16,0.041299
20.0,20,0.043492
18.0,18,0.048407
10.0,10,0.049137
21.0,21,0.051405
23.0,23,0.054086
13.0,13,0.05629
17.0,17,0.060601
13.0,13,0.061215
24.0,24,0.061811
18.0,18,0.066146
10.0,10,0.066196
18.0,18,0.071045
14.0,14,0.073771
26.0,26,0.075929
21.0,21,0.077553
20.0,20,0.082066
15.0,15,0.082118
9.0,9,0.082728
23.0,23,0.09434
36.0,36,0.095462
35.0,35,0.101348
12.0,12,0.101963
14.0,14,0.102005
9.0,9,0.106245
9.0,9,0.106843
59.0,59,0.113894
17.0,17,0.116085
11.0,11,0.121959
40.0,40,0.123639
34.0,34,0.124765
21.0,21,0.125347
10.0,10,0.130165
17.0,17,0.131275
19.0,19,0.134195
13.0,13,0.137446
36.0,36,0.145098
20.0,20,0.148363
30.0,30,0.150517
40.0,40,0.153198
15.0,15,0.153244
20.0,20,0.159631
11.0,11,0.159689
12.0,12,0.166176
12.0,12,0.166232
39.0,39,0.172102
37.0,37,0.173781
20.0,20,0.17738
10.0,10,0.177999
19.0,19,0.184853
14.0,14,0.185481
49.0,49,0.193442
31.0,31,0.196702
24.0,24,0.200044
32.0,32,0.203768
17.0,17,0.204362
19.0,19,0.207105
8.0,8,0.20832
23.0,23,0.212841
17.0,17,0.213974
15.0,15,0.215619
17.0,17,0.21779
16.0,16,0.222088
15.0,15,0.222731
19.0,19,0.228673
13.0,13,0.22926
14.0,14,0.230382
27.0,27,0.23096
8.0,8,0.233268
9.0,9,0.235455
16.0,16,0.242021
24.0,24,0.242624
16.0,16,0.244322
24.0,24,0.24437
10.0,10,0.249786
15.0,15,0.250387
23.0,23,0.25521
14.0,14,0.257893
17.0,17,0.259005
13.0,13,0.262196
13.0,13,0.266042
46.0,46,0.269389
25.0,25,0.275836
35.0,35,0.276959
15.0,15,0.277551
21.0,21,0.27759
17.0,17,0.285012
22.0,22,0.288867
13.0,13,0.292143
30.0,30,0.293773
9.0,9,0.29854
40.0,40,0.299184
22.0,22,0.300899
20.0,20,0.303044
19.0,19,0.30901
14.0,14,1.026957
22.0,22,1.027679
12.0,12,1.034577
13.0,13,1.035884
33.0,33,1.036555
20.0,20,1.037827
15.0,15,1.045499
18.0,18,1.049948
12.0,12,1.053737
26.0,26,1.054415
33.0,33,1.060581
13.0,13,1.062544
21.0,21,1.06322
20.0,20,1.066326
22.0,22,1.076687
31.0,31,1.079844
9.0,9,1.082371
26.0,26,1.082422
33.0,33,1.083101
12.0,12,1.087478
9.0,9,1.088165
10.0,10,1.08945
16.0,16,1.092504
11.0,11,1.095042
11.0,11,1.096344
12.0,12,1.100089
22.0,22,1.101391
14.0,14,1.103894
11.0,11,1.108297
23.0,23,1.110823
21.0,21,1.117026
19.0,19,1.122632
35.0,35,1.130178
14.0,14,1.131484
54.0,54,1.133993
35.0,35,1.139106
10.0,10,1.140399
21.0,21,1.144826
32.0,32,1.150387
14.0,14,1.15354
25.0,25,1.154838
8.0,8,1.160205
16.0,16,1.162174
32.0,32,1.162226
17.0,17,1.167224
22.0,22,1.174034
16.0,16,1.177102
25.0,25,1.177786
25.0,25,1.177831
12.0,12,1.185439
18.0,18,1.185504
14.0,14,1.186828
11.0,11,1.192458
14.0,14,1.195604
31.0,31,1.196912
19.0,19,1.197584
10.0,10,1.198873
13.0,13,1.204579
28.0,28,1.213582
33.0,33,1.214796
29.0,29,1.215414
17.0,17,1.223441
35.0,35,1.224644
17.0,17,1.225293
24.0,24,1.228855
15.0,15,1.23394
20.0,20,1.236296
13.0,13,1.236347
26.0,26,1.238639
12.0,12,1.241066
10.0,10,1.242332
15.0,15,1.247422
20.0,20,1.248074
10.0,10,1.253712
28.0,28,1.257297
14.0,14,1.261908
27.0,27,1.263095
22.0,22,1.269971
14.0,14,1.270027
49.0,49,1.270691
15.0,15,1.271894
12.0,12,1.276984
12.0,12,1.277033
16.0,16,1.279968
15.0,15,1.280603
12.0,12,1.287422
19.0,19,1.288011
16.0,16,1.289208
12.0,12,1.294919
37.0,37,1.298379
23.0,23,1.300668
22.0,22,1.301834
10.0,10,1.307485
19.0,19,1.309205
29.0,29,1.311563
22.0,22,1.313332
16.0,16,1.318517
14.0,14,1.319749
16.0,16,1.322676
33.0,33,1.326784
12.0,12,1.326836
10.0,10,1.328599
27.0,27,1.59664
17.0,17,1.601325
20.0,20,1.601383
10.0,10,1.603378
13.0,13,1.60982
16.0,16,1.611842
41.0,41,1.615162
11.0,11,1.617263
26.0,26,1.620566
15.0,15,1.621944
25.0,25,1.631676
27.0,27,1.638188
44.0,44,1.646057
40.0,40,1.648089
26.0,26,1.648815
17.0,17,1.649544
9.0,9,1.652178
19.0,19,1.661276
19.0,19,1.662021
26.0,26,1.669842
13.0,13,1.669907
16.0,16,1.672562
9.0,9,1.675842
41.0,41,1.677217
24.0,24,1.685885
20.0,20,1.690492
24.0,24,1.691836
30.0,30,1.692535
12.0,12,1.693904
10.0,10,1.698638
16.0,16,1.701303
16.0,16,1.709225
18.0,18,1.713142
22.0,22,1.723499
17.0,17,1.724217
14.0,14,1.732729
68.0,68,1.737639
77.0,77,1.741978
32.0,32,1.743262
19.0,19,1.744547
14.0,14,1.752374
16.0,16,1.752434
29.0,29,1.756024
22.0,22,1.758486
11.0,11,1.759156
13.0,13,1.760406
12.0,12,1.76583
21.0,21,1.773069
16.0,16,1.775565
35.0,35,1.777477
34.0,34,1.779964
20.0,20,1.785033
11.0,11,1.786211
24.0,24,1.789587
22.0,22,1.79022
17.0,17,1.794897
9.0,9,1.795521
19.0,19,1.800557
26.0,26,1.80117
13.0,13,1.802344
30.0,30,1.817768
46.0,46,1.821744
43.0,43,1.82682
22.0,22,1.830199
20.0,20,1.833094
20.0,20,1.838123
20.0,20,1.841543
73.0,73,1.842699
35.0,35,1.852761
33.0,33,1.856706
29.0,29,1.859028
18.0,18,1.862969
16.0,16,1.865781
47.0,47,1.86811
19.0,19,1.869832
10.0,10,1.875529
18.0,18,1.885639
36.0,36,1.888506
46.0,46,1.889086
18.0,18,1.899425
31.0,31,2.158961
75.0,75,2.164982
20.0,20,2.167683
41.0,41,2.169062
10.0,10,2.175587
26.0,26,2.176318
29.0,29,2.186853
20.0,20,2.189606
38.0,38,2.190345
10.0,10,2.194152
12.0,12,2.199686
12.0,12,2.203665
44.0,44,2.207013
23.0,23,2.207733
12.0,12,2.207782
13.0,13,2.215553
26.0,26,2.220885
33.0,33,2.229318
17.0,17,2.232007
41.0,41,2.23469
13.0,13,2.238
19.0,19,2.244546
58.0,58,2.253599
15.0,15,2.254324
32.0,32,2.259098
23.0,23,2.268861
53.0,53,2.269578
23.0,23,2.274263
29.0,29,2.288497
32.0,32,2.294602
11.0,11,2.295284
13.0,13,2.303187
78.0,78,2.304449
19.0,19,2.306324
62.0,62,2.308234
22.0,22,2.319849
22.0,22,2.321772
40.0,40,2.327929
13.0,13,2.327986
10.0,10,2.334104
53.0,53,2.337157
27.0,27,2.338439
19.0,19,2.339716
13.0,13,2.343441
9.0,9,2.349332
19.0,19,2.351965
23.0,23,2.355875
11.0,11,2.356536
30.0,30,2.358099
19.0,19,2.370232
32.0,32,2.372846
20.0,20,2.382902
56.0,56,2.392157
17.0,17,2.39445
40.0,40,2.399761
68.0,68,2.406284
23.0,23,2.412668
22.0,22,2.413983
13.0,13,2.421375
30.0,30,2.422547
21.0,21,2.424829
32.0,32,2.425458
14.0,14,2.429428
13.0,13,2.432799
19.0,19,2.433414
18.0,18,2.435123
13.0,13,2.436877
16.0,16,2.441946
19.0,19,2.452662
35.0,35,2.454987
43.0,43,2.458009
10.0,10,2.460849
47.0,47,2.463701
20.0,20,2.464326
23.0,23,2.471024
26.0,26,2.47886
32.0,32,2.478914
27.0,27,2.74306
29.0,29,2.753415
17.0,17,2.754133
31.0,31,2.754852
10.0,10,2.761412
21.0,21,2.767892
81.0,81,2.769937
28.0,28,2.771954
24.0,24,2.777196
33.0,33,2.789518
29.0,29,2.790893
35.0,35,2.792915
25.0,25,2.793638
11.0,11,2.796904
14.0,14,2.805953
23.0,23,2.808608
35.0,35,2.815701
21.0,21,2.822227
37.0,37,2.830035
19.0,19,2.834619
70.0,70,2.836648
11.0,11,2.842055
37.0,37,2.854502
29.0,29,2.855892
25.0,25,2.858572
66.0,66,2.859277
11.0,11,2.86191
32.0,32,2.878777
33.0,33,2.882515
13.0,13,2.890505
58.0,58,2.892401
31.0,31,2.897851
15.0,15,2.901434
25.0,25,2.905724
76.0,76,2.906396
10.0,10,2.907686
9.0,9,2.911358
13.0,13,2.914427
28.0,28,2.915103
14.0,14,2.92364
27.0,27,2.927617
27.0,27,2.930467
39.0,39,2.931095
22.0,22,2.936149
13.0,13,2.943579
32.0,32,2.94863
16.0,16,2.952544
63.0,63,2.966508
72.0,72,2.96827
16.0,16,2.975584
43.0,43,2.976766
23.0,23,2.981275
10.0,10,2.98245
71.0,71,2.988655
13.0,13,2.988707
17.0,17,2.992069
38.0,38,2.997179
10.0,10,2.99781
29.0,29,3.005115
15.0,15,3.005744
9.0,9,3.010287
11.0,11,3.012018
26.0,26,3.012642
46.0,46,3.015008
12.0,12,3.017333
9.0,9,3.022409
21.0,21,3.024686
21.0,21,3.027018
27.0,27,3.027633
12.0,12,3.029351
11.0,11,3.031067
15.0,15,3.039578
31.0,31,3.3003
16.0,16,3.304906
22.0,22,3.314597
53.0,53,3.315318
53.0,53,3.317345
26.0,26,3.321933
20.0,20,3.328421
34.0,34,3.336858
24.0,24,3.337585
15.0,15,3.338303
20.0,20,3.349945
54.0,54,3.352605
26.0,26,3.35459
48.0,48,3.369371
31.0,31,3.370084
29.0,29,3.371441
15.0,15,3.37989
17.0,17,3.382758
50.0,50,3.387348
28.0,28,3.388078
10.0,10,3.389418
26.0,26,3.40561
26.0,26,3.406355
27.0,27,3.408344
48.0,48,3.413091
15.0,15,3.416375
23.0,23,3.428101
37.0,37,3.432295
39.0,39,3.44084
14.0,14,3.440902
15.0,15,3.449982
21.0,21,3.45364
42.0,42,3.45369
14.0,14,3.462149
15.0,15,3.462845
27.0,27,3.478797
50.0,50,3.480662
129.0,129,3.485967
28.0,28,3.494961
56.0,56,3.49617
20.0,20,3.49734
12.0,12,3.504223
51.0,51,3.509877
32.0,32,3.513256
22.0,22,3.522237
19.0,19,3.523968
46.0,46,3.530117
17.0,17,3.531835
19.0,19,3.534655
81.0,81,3.541932
14.0,14,3.549747
38.0,38,3.553205
35.0,35,3.554365
60.0,60,3.563867
19.0,19,3.563914
9.0,9,3.568974
37.0,37,3.570699
31.0,31,3.571865
