# {"t_start": 1558272260.7670789} 
r,l,t
9.0,9,0.01929
11.0,11,0.020469
14.0,14,0.022122
15.0,15,0.022734
14.0,14,0.031759
22.0,22,0.032992
25.0,25,0.037496
13.0,13,0.039194
13.0,13,0.040327
12.0,12,0.044203
10.0,10,0.04656
26.0,26,0.054217
21.0,21,0.058127
16.0,16,0.063378
84.0,84,0.069402
12.0,12,0.070009
21.0,21,0.070053
57.0,57,0.076689
19.0,19,0.080259
11.0,11,0.08302
25.0,25,0.084189
31.0,31,0.08753
17.0,17,0.089689
13.0,13,0.094725
24.0,24,0.097655
26.0,26,0.09771
17.0,17,0.099358
9.0,9,0.102739
12.0,12,0.104384
20.0,20,0.10627
11.0,11,0.109151
17.0,17,0.109202
7.0,7,0.113311
17.0,17,0.114643
18.0,18,0.116877
21.0,21,0.121325
19.0,19,0.124188
20.0,20,0.128073
25.0,25,0.128819
17.0,17,0.131303
17.0,17,0.137944
27.0,27,0.139684
20.0,20,0.140275
17.0,17,0.140875
9.0,9,0.143064
7.0,7,0.144843
18.0,18,0.150119
10.0,10,0.150716
14.0,14,0.151306
8.0,8,0.154853
25.0,25,0.154906
18.0,18,0.16081
14.0,14,0.162781
20.0,20,0.166132
26.0,26,0.166184
16.0,16,0.170055
9.0,9,0.171193
18.0,18,0.172879
10.0,10,0.17667
30.0,30,0.183099
11.0,11,0.183157
18.0,18,0.183183
26.0,26,0.18494
11.0,11,0.190882
14.0,14,0.192551
13.0,13,0.193693
11.0,11,0.199075
11.0,11,0.200242
40.0,40,0.207373
16.0,16,0.207975
8.0,8,0.213127
10.0,10,0.213799
23.0,23,0.213843
8.0,8,0.218377
52.0,52,0.221182
14.0,14,0.221768
21.0,21,0.224986
13.0,13,0.229277
19.0,19,0.232072
28.0,28,0.234292
22.0,22,0.237537
11.0,11,0.243611
20.0,20,0.245634
35.0,35,0.248903
11.0,11,0.250037
9.0,9,0.250617
37.0,37,0.252793
10.0,10,0.255537
15.0,15,0.25718
16.0,16,0.259455
12.0,12,0.264175
18.0,18,0.265935
14.0,14,0.267699
9.0,9,0.270937
33.0,33,0.271531
14.0,14,0.272114
11.0,11,0.277175
22.0,22,0.280333
21.0,21,0.283587
13.0,13,0.287384
29.0,29,0.288498
12.0,12,0.290342
28.0,28,0.293085
14.0,14,0.296652
17.0,17,0.297255
16.0,16,0.299645
15.0,15,1.368679
18.0,18,1.370165
25.0,25,1.370869
16.0,16,1.372212
9.0,9,1.376736
19.0,19,1.381441
10.0,10,1.383405
26.0,26,1.389132
19.0,19,1.393844
18.0,18,1.395381
12.0,12,1.397459
9.0,9,1.401359
19.0,19,1.406386
11.0,11,1.408333
63.0,63,1.41157
14.0,14,1.41571
20.0,20,1.421574
15.0,15,1.42164
39.0,39,1.422932
16.0,16,1.426091
