# {"t_start": 1558158303.9899352} 
r,l,t
11.0,11,0.039592
14.0,14,0.041295
19.0,19,0.043896
14.0,14,0.046984
12.0,12,0.053303
40.0,40,0.054991
31.0,31,0.057599
18.0,18,0.062791
15.0,15,0.06284
18.0,18,0.066943
13.0,13,0.069546
49.0,49,0.069591
20.0,20,0.073995
11.0,11,0.076164
22.0,22,0.082252
17.0,17,0.083427
21.0,21,0.087603
37.0,37,0.087652
14.0,14,0.090834
18.0,18,0.091966
11.0,11,0.09355
15.0,15,0.0989
11.0,11,0.099541
29.0,29,0.103282
16.0,16,0.107931
39.0,39,0.112724
29.0,29,0.114363
15.0,15,0.116243
29.0,29,0.11908
12.0,12,0.121281
19.0,19,0.126402
25.0,25,0.126449
13.0,13,0.128043
18.0,18,0.128646
26.0,26,0.140116
26.0,26,0.140173
22.0,22,0.140199
32.0,32,0.144867
14.0,14,0.147461
8.0,8,0.151738
32.0,32,0.157075
35.0,35,0.158699
34.0,34,0.162811
18.0,18,0.168005
35.0,35,0.175196
60.0,60,0.182957
40.0,40,0.183532
34.0,34,0.185599
28.0,28,0.189703
14.0,14,0.190316
17.0,17,0.196137
13.0,13,0.198248
20.0,20,0.202405
33.0,33,0.202452
12.0,12,0.20867
16.0,16,0.210826
33.0,33,0.213481
31.0,31,0.214566
28.0,28,0.225578
21.0,21,0.225632
33.0,33,0.226191
10.0,10,0.231492
13.0,13,0.232606
39.0,39,0.234329
11.0,11,0.238483
18.0,18,0.241061
16.0,16,0.24271
11.0,11,0.246915
52.0,52,0.253171
29.0,29,0.253751
15.0,15,0.25482
28.0,28,0.257398
14.0,14,0.260461
9.0,9,0.262022
22.0,22,0.266099
25.0,25,0.266668
22.0,22,0.271731
22.0,22,0.273749
16.0,16,0.275795
29.0,29,0.282076
24.0,24,0.285258
33.0,33,0.291421
36.0,36,0.294519
9.0,9,0.29909
39.0,39,1.079887
28.0,28,1.080905
27.0,27,1.091164
18.0,18,1.093317
70.0,70,1.098418
18.0,18,1.103984
11.0,11,1.10655
36.0,36,1.107399
20.0,20,1.108163
14.0,14,1.113773
14.0,14,1.115624
20.0,20,1.119964
28.0,28,1.125384
19.0,19,1.127247
13.0,13,1.135562
50.0,50,1.145429
18.0,18,1.147297
41.0,41,1.151529
10.0,10,1.153371
14.0,14,1.154086
58.0,58,1.156606
13.0,13,1.159633
17.0,17,1.163835
17.0,17,1.166865
10.0,10,1.169874
20.0,20,1.171947
18.0,18,1.178254
