# {"t_start": 1558370424.993382} 
r,l,t
15.0,15,0.023669
19.0,19,0.025948
26.0,26,0.029892
13.0,13,0.03727
43.0,43,0.039572
11.0,11,0.043449
45.0,45,0.049003
11.0,11,0.049594
55.0,55,0.056588
19.0,19,0.059346
20.0,20,0.06051
41.0,41,0.062219
15.0,15,0.065749
14.0,14,0.069413
12.0,12,0.070057
19.0,19,0.071228
12.0,12,0.077222
17.0,17,0.081272
30.0,30,0.08377
35.0,35,0.090359
17.0,17,0.093793
25.0,25,0.095983
15.0,15,0.098714
39.0,39,0.099826
13.0,13,0.103948
15.0,15,0.109031
23.0,23,0.112305
22.0,22,0.117583
17.0,17,0.119775
17.0,17,0.126801
67.0,67,0.132878
13.0,13,0.134083
42.0,42,0.137032
41.0,41,0.142634
28.0,28,0.148698
34.0,34,0.152957
9.0,9,0.153526
25.0,25,0.156276
11.0,11,0.159705
10.0,10,0.161868
49.0,49,0.164065
12.0,12,0.168403
9.0,9,0.168986
37.0,37,0.17342
25.0,25,0.182056
42.0,42,0.182636
19.0,19,0.183759
33.0,33,0.188724
13.0,13,0.192672
18.0,18,0.193908
23.0,23,0.197491
22.0,22,0.201323
15.0,15,0.20255
15.0,15,0.20593
36.0,36,0.212831
22.0,22,0.21342
23.0,23,0.215055
19.0,19,0.216346
16.0,16,0.222335
17.0,17,0.224534
10.0,10,0.227885
29.0,29,0.229015
11.0,11,0.230652
18.0,18,0.237581
40.0,40,0.238178
16.0,16,0.239345
12.0,12,0.245143
12.0,12,0.246269
36.0,36,0.248941
24.0,24,0.251073
13.0,13,0.252166
12.0,12,0.252749
14.0,14,0.260351
25.0,25,0.262501
25.0,25,0.265748
13.0,13,0.267516
9.0,9,0.267564
30.0,30,0.26759
22.0,22,0.278051
23.0,23,0.280209
28.0,28,0.282881
9.0,9,0.282926
34.0,34,0.286148
16.0,16,0.291401
12.0,12,0.29252
31.0,31,0.296903
30.0,30,1.733492
24.0,24,1.739877
28.0,28,1.743583
18.0,18,1.744913
26.0,26,1.747461
20.0,20,1.752359
14.0,14,1.756197
10.0,10,1.758737
13.0,13,1.764277
10.0,10,1.770642
43.0,43,1.770706
21.0,21,1.772035
11.0,11,1.778803
62.0,62,1.783733
28.0,28,1.788106
12.0,12,1.791274
27.0,27,1.795733
12.0,12,1.795787
52.0,52,1.80317
27.0,27,1.808182
29.0,29,1.813686
18.0,18,1.814381
15.0,15,1.817549
38.0,38,1.819461
19.0,19,1.829378
25.0,25,1.829435
23.0,23,1.83406
13.0,13,1.837849
20.0,20,1.842305
14.0,14,1.84301
54.0,54,1.848578
19.0,19,1.854703
11.0,11,1.85545
35.0,35,1.859819
10.0,10,1.861134
31.0,31,1.861838
9.0,9,1.865617
19.0,19,1.867546
12.0,12,1.869509
20.0,20,1.873903
17.0,17,1.876426
7.0,7,1.878352
23.0,23,1.884018
12.0,12,1.885942
34.0,34,1.889128
10.0,10,1.892204
27.0,27,1.893479
22.0,22,1.897605
21.0,21,1.901609
19.0,19,1.903329
19.0,19,1.904487
13.0,13,1.905094
16.0,16,1.910863
16.0,16,1.913698
21.0,21,1.917103
17.0,17,1.920458
13.0,13,1.921082
34.0,34,1.922801
8.0,8,1.925683
11.0,11,1.929091
24.0,24,1.930801
25.0,25,1.935303
17.0,17,1.935935
11.0,11,1.935976
12.0,12,1.938262
21.0,21,1.947231
22.0,22,1.948414
20.0,20,1.949552
26.0,26,1.950737
14.0,14,1.955229
12.0,12,1.955277
24.0,24,1.963059
26.0,26,1.965304
27.0,27,1.970401
13.0,13,1.970453
11.0,11,1.976595
48.0,48,1.982291
10.0,10,1.982345
31.0,31,1.982976
12.0,12,1.989102
13.0,13,1.990299
39.0,39,1.992558
23.0,23,1.995451
11.0,11,1.99882
26.0,26,2.003835
14.0,14,2.006867
20.0,20,2.006922
29.0,29,2.006949
17.0,17,2.013764
19.0,19,2.01782
13.0,13,2.025131
21.0,21,2.025732
41.0,41,2.030738
12.0,12,2.033037
13.0,13,2.309816
12.0,12,2.311843
12.0,12,2.317723
35.0,35,2.318462
81.0,81,2.327597
28.0,28,2.330298
20.0,20,2.331022
14.0,14,2.336873
34.0,34,2.340847
20.0,20,2.34415
11.0,11,2.348062
29.0,29,2.349436
20.0,20,2.350151
27.0,27,2.36679
41.0,41,2.37074
37.0,37,2.37404
47.0,47,2.378625
17.0,17,2.385116
13.0,13,2.387138
25.0,25,2.38719
13.0,13,2.393644
43.0,43,2.395003
19.0,19,2.399576
11.0,11,2.400934
10.0,10,2.406305
12.0,12,2.414125
46.0,46,2.417569
34.0,34,2.423472
12.0,12,2.431154
42.0,42,2.443731
82.0,82,2.447414
14.0,14,2.455901
27.0,27,2.460207
55.0,55,2.464535
82.0,82,2.465204
17.0,17,2.475667
41.0,41,2.481254
28.0,28,2.481956
58.0,58,2.495092
40.0,40,2.499015
8.0,8,2.499627
38.0,38,2.503594
41.0,41,2.504802
18.0,18,2.509387
35.0,35,2.519411
23.0,23,2.522786
32.0,32,2.523413
17.0,17,2.529628
16.0,16,2.532037
15.0,15,2.538171
64.0,64,2.540548
43.0,43,2.556169
34.0,34,2.557362
60.0,60,2.557404
32.0,32,2.558591
13.0,13,2.56365
14.0,14,2.565348
17.0,17,2.567147
21.0,21,2.570625
23.0,23,2.576855
18.0,18,2.580865
11.0,11,2.583216
