# {"t_start": 1558153553.028507} 
r,l,t
12.0,12,0.033101
16.0,16,0.036449
18.0,18,0.037856
19.0,19,0.047153
20.0,20,0.053094
39.0,39,0.054007
19.0,19,0.062381
34.0,34,0.062437
13.0,13,0.063132
8.0,8,0.067635
26.0,26,0.072078
12.0,12,0.075326
19.0,19,0.075381
27.0,27,0.079851
9.0,9,0.081196
27.0,27,0.089652
14.0,14,0.090376
26.0,26,0.092377
9.0,9,0.09672
30.0,30,0.099974
11.0,11,0.100031
16.0,16,0.100758
13.0,13,0.10916
19.0,19,0.109216
20.0,20,0.113309
33.0,33,0.121697
20.0,20,0.122433
25.0,25,0.125914
16.0,16,0.133
21.0,21,0.135465
17.0,17,0.136693
9.0,9,0.140846
13.0,13,0.140904
48.0,48,0.144194
14.0,14,0.150018
11.0,11,0.151356
19.0,19,0.153382
30.0,30,0.15598
13.0,13,0.162056
28.0,28,0.170465
45.0,45,0.183982
38.0,38,0.184039
30.0,30,0.184748
33.0,33,0.192963
20.0,20,0.196833
20.0,20,0.196889
29.0,29,0.203285
21.0,21,0.2103
30.0,30,0.222356
21.0,21,0.223739
49.0,49,0.224453
12.0,12,0.233406
16.0,16,0.23687
20.0,20,0.237609
10.0,10,0.244031
77.0,77,0.248543
20.0,20,0.256846
45.0,45,0.262582
44.0,44,0.265213
21.0,21,0.270369
19.0,19,0.274854
12.0,12,0.278119
58.0,58,0.288315
23.0,23,0.293501
41.0,41,0.296457
13.0,13,0.299234
19.0,19,0.30721
28.0,28,0.317404
16.0,16,0.31746
14.0,14,0.326563
54.0,54,0.331929
13.0,13,0.335277
87.0,87,0.339927
15.0,15,0.345139
44.0,44,0.346518
16.0,16,0.350476
29.0,29,0.35119
17.0,17,0.357577
24.0,24,1.328993
28.0,28,1.339248
18.0,18,1.342251
50.0,50,1.347407
12.0,12,1.351073
65.0,65,1.352737
21.0,21,1.354967
12.0,12,1.360079
16.0,16,1.364414
17.0,17,1.367408
32.0,32,1.371072
20.0,20,1.378983
33.0,33,1.384058
18.0,18,1.391967
30.0,30,1.39276
40.0,40,1.396607
27.0,27,1.403843
26.0,26,1.411064
