# {"t_start": 1558865074.390684} 
r,l,t
47.0,47,2.03404
21.0,21,2.042385
17.0,17,2.045048
54.0,54,2.046399
30.0,30,2.049647
17.0,17,2.061258
28.0,28,2.065218
34.0,34,2.06792
17.0,17,2.073062
12.0,12,2.073857
53.0,53,2.078433
13.0,13,2.08173
19.0,19,2.086285
18.0,18,2.097813
54.0,54,2.103794
40.0,40,2.104534
37.0,37,2.105858
15.0,15,2.107909
19.0,19,2.120825
36.0,36,2.127928
46.0,46,2.134913
51.0,51,2.139156
24.0,24,2.153611
68.0,68,2.162614
60.0,60,2.164466
59.0,59,2.170623
31.0,31,2.1725
23.0,23,2.177122
11.0,11,2.177727
29.0,29,2.182322
20.0,20,2.184568
17.0,17,2.186764
16.0,16,2.18681
16.0,16,2.191527
22.0,22,2.200064
32.0,32,2.204248
11.0,11,2.210931
49.0,49,2.21659
14.0,14,2.218764
34.0,34,2.220445
52.0,52,2.222964
15.0,15,2.22523
26.0,26,2.23344
21.0,21,2.234563
22.0,22,2.2373
31.0,31,2.23794
11.0,11,2.239743
14.0,14,2.247769
30.0,30,2.251591
38.0,38,2.2595
39.0,39,2.259559
21.0,21,2.263987
12.0,12,2.267192
19.0,19,2.27118
14.0,14,2.272388
11.0,11,2.273812
12.0,12,2.278841
60.0,60,2.283458
15.0,15,2.287329
27.0,27,2.289825
23.0,23,2.296497
18.0,18,2.297638
17.0,17,2.505772
20.0,20,2.518823
68.0,68,2.520191
34.0,34,2.524747
43.0,43,2.532131
20.0,20,2.533521
28.0,28,2.537466
14.0,14,2.541302
39.0,39,2.550292
13.0,13,2.558528
29.0,29,2.559843
48.0,48,2.568078
56.0,56,2.569445
21.0,21,2.573259
18.0,18,2.579644
19.0,19,2.581635
13.0,13,2.590447
51.0,51,2.606337
45.0,45,2.608931
35.0,35,2.613256
86.0,86,2.614608
22.0,22,2.621464
13.0,13,2.622239
24.0,24,2.632705
24.0,24,2.639409
25.0,25,2.639468
61.0,61,2.650191
31.0,31,2.651454
22.0,22,2.652723
11.0,11,2.659335
15.0,15,2.660622
37.0,37,2.661828
29.0,29,2.668973
23.0,23,2.677958
25.0,25,2.678024
32.0,32,2.681046
17.0,17,2.689321
18.0,18,2.693973
47.0,47,2.700257
19.0,19,2.701425
22.0,22,2.713595
27.0,27,2.715355
72.0,72,2.721364
23.0,23,2.726352
10.0,10,2.727001
35.0,35,2.734603
21.0,21,2.738417
81.0,81,2.739005
19.0,19,2.745054
15.0,15,2.747713
11.0,11,2.751538
27.0,27,2.75385
16.0,16,2.75683
55.0,55,2.757622
16.0,16,2.761503
13.0,13,2.765816
13.0,13,2.769139
28.0,28,2.773552
22.0,22,2.778
13.0,13,2.781078
67.0,67,2.792481
22.0,22,2.793083
55.0,55,2.80024
43.0,43,2.802486
17.0,17,2.802533
22.0,22,2.805855
13.0,13,2.809787
13.0,13,2.813461
26.0,26,2.81516
18.0,18,3.029506
31.0,31,3.029582
19.0,19,3.034031
20.0,20,3.036609
20.0,20,3.042379
18.0,18,3.045568
26.0,26,3.046282
21.0,21,3.050125
24.0,24,3.060789
32.0,32,3.062742
38.0,38,3.074154
24.0,24,3.076141
51.0,51,3.078728
31.0,31,3.082545
25.0,25,3.090446
21.0,21,3.096141
33.0,33,3.097487
46.0,46,3.108777
30.0,30,3.110127
24.0,24,3.11301
22.0,22,3.113084
19.0,19,3.123617
26.0,26,3.127056
23.0,23,3.128467
23.0,23,3.128521
13.0,13,3.132432
21.0,21,3.141021
17.0,17,3.143626
28.0,28,3.146901
30.0,30,3.148248
21.0,21,3.154308
21.0,21,3.156756
18.0,18,3.157992
42.0,42,3.173617
38.0,38,3.18084
48.0,48,3.185593
23.0,23,3.187437
20.0,20,3.192783
66.0,66,3.194051
11.0,11,3.194093
24.0,24,3.200044
20.0,20,3.206373
23.0,23,3.208404
17.0,17,3.211021
36.0,36,3.214928
16.0,16,3.217679
22.0,22,3.219328
37.0,37,3.231631
37.0,37,3.238609
25.0,25,3.245716
26.0,26,3.252999
15.0,15,3.254232
76.0,76,3.261839
36.0,36,3.272889
106.0,106,3.274052
23.0,23,3.274627
48.0,48,3.280625
20.0,20,3.285682
24.0,24,3.286298
25.0,25,3.287969
23.0,23,3.298818
44.0,44,3.305046
40.0,40,3.309943
20.0,20,3.316863
11.0,11,3.316917
13.0,13,3.32414
46.0,46,3.325289
78.0,78,3.537923
28.0,28,3.541162
20.0,20,3.550583
50.0,50,3.563394
51.0,51,3.565399
34.0,34,3.572301
54.0,54,3.575504
37.0,37,3.586935
35.0,35,3.587648
25.0,25,3.588332
10.0,10,3.594667
31.0,31,3.595358
29.0,29,3.613054
47.0,47,3.617262
39.0,39,3.620528
55.0,55,3.623481
26.0,26,3.630811
28.0,28,3.639316
31.0,31,3.643793
19.0,19,3.65169
53.0,53,3.652416
55.0,55,3.666199
38.0,38,3.668074
30.0,30,3.671162
32.0,32,3.67182
23.0,23,3.680277
26.0,26,3.683976
13.0,13,3.688392
44.0,44,3.698037
49.0,49,3.701646
31.0,31,3.707113
43.0,43,3.710199
17.0,17,3.712065
36.0,36,3.719853
21.0,21,3.71991
23.0,23,3.723886
41.0,41,3.736598
30.0,30,3.737904
32.0,32,3.739063
13.0,13,3.745231
21.0,21,3.748902
18.0,18,3.755882
32.0,32,3.757555
16.0,16,3.758365
71.0,71,3.765563
22.0,22,3.777825
45.0,45,3.783365
