AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
16.98,0.5002560019493103,0.49974408745765686,16.98,0.6931465268135071,4.528865191122389e-05,1,57,57.0,0.0014343273360282183,6,6.0,-2.3107946617528796e-05,1.9999998807907104,10.351792115377897,10.351792115377897,115,2000,194.05859375
16.92,0.49650242924690247,0.5034975409507751,16.92,0.6918033361434937,-0.0037549854462086696,2,64,64.0,0.0015060631558299065,6,6.0,0.003713590558618307,1.997317910194397,9.955581349172936,9.955581349172936,229,4000,174.58531188964844
19.57,0.4934912621974945,0.5065087676048279,19.57,0.6878737807273865,-0.006365428675461304,3,115,115.0,0.0016147532733157277,6,6.0,0.005751648917794228,1.9895360469818115,15.581562822772304,15.581562822772304,331,6000,266.748046875
19.66,0.48698046803474426,0.5130196213722229,19.66,0.6816754937171936,-0.017491761678336104,4,83,83.0,0.0015040587168186903,6,6.0,0.002258837688714266,1.977433204650879,12.326572921943876,12.326572921943876,429,8000,148.52146911621094
20.84,0.4971387982368469,0.5028612017631531,20.84,0.6733426451683044,0.0046647154129753066,5,64,64.0,0.0015139322495087981,6,6.0,-0.002670667367056012,1.9614384174346924,12.11092069167328,12.11092069167328,526,10000,89.82807159423828
23.14,0.493452787399292,0.5065471529960632,23.14,0.6661478877067566,0.033060737826526854,6,62,62.0,0.0013731528306379914,6,6.0,-0.00013034394942224026,1.9479660987854004,12.043271980653763,12.043271980653763,610,12000,96.18878936767578
25.47,0.49288758635520935,0.507112443447113,25.47,0.6526217460632324,0.04073819340627782,7,92,92.0,0.0014860383234918118,7,7.0,-0.001634728629142046,1.9231520891189575,15.125776013150531,15.125776013150531,687,14000,144.38148498535156
23.94,0.49865710735321045,0.5013429522514343,23.94,0.632282555103302,0.052262209340272814,8,92,92.0,0.0016977740451693535,7,7.0,0.011876617558300495,1.8869667053222656,16.761157477930933,16.761157477930933,773,16000,135.1735382080078
21.2,0.5097772479057312,0.4902227520942688,21.2,0.6146737337112427,0.12293315002248306,9,54,54.0,0.0017776759341359138,7,7.0,0.005137075204402208,1.855712890625,11.577564510725043,11.577564510725043,864,18000,80.93402099609375
26.52,0.5188121795654297,0.4811876714229584,26.52,0.6069350242614746,0.08083146026240573,10,97,97.0,0.001331626670435071,7,7.0,-0.0001486924447817728,1.8435630798339844,17.617877284167918,17.617877284167918,937,20000,182.8771514892578
25.42,0.4995134174823761,0.5004866719245911,25.42,0.5886393785476685,0.12767463302815074,11,68,68.0,0.0013774237595498562,6,6.0,0.021972429007291794,1.8134618997573853,14.498399911714394,14.498399911714394,1018,22000,101.31256866455078
27.98,0.5034029483795166,0.4965969920158386,27.98,0.5775332450866699,0.08418919215647724,12,123,123.0,0.0013930423883721232,7,7.0,0.02938668243587017,1.794408917427063,19.247327087156805,19.247327087156805,1081,24000,224.92774963378906
33.26,0.49554339051246643,0.504456639289856,33.26,0.560208797454834,0.08068576350091072,13,123,123.0,0.0011775559978559613,7,7.0,0.012549808248877525,1.7656561136245728,22.856780175694038,22.856780175694038,1139,26000,175.9758758544922
31.89,0.4945339560508728,0.5054659843444824,31.89,0.5345845222473145,0.09646663639615005,14,116,116.0,0.0011754281586036086,8,8.0,0.038762032985687256,1.7262866497039795,20.44988753025307,20.44988753025307,1202,28000,169.49305725097656
27.9,0.5066995620727539,0.4933004081249237,27.9,0.50621497631073,0.07641700955365172,15,91,91.0,0.0011244674678891897,6,6.0,0.03508046269416809,1.6837598085403442,17.78060741369653,17.78060741369653,1275,30000,152.0286865234375
30.71,0.4975942373275757,0.5024057626724243,30.71,0.4981440305709839,0.12099844705136331,16,98,98.0,0.000993576250039041,7,7.0,0.043511658906936646,1.6712077856063843,19.897384250197312,19.897384250197312,1335,32000,141.08811950683594
36.65,0.5335035920143127,0.4664963483810425,36.65,0.4954930245876312,0.06340245778409714,17,130,130.0,0.0008743647485971451,9,9.0,0.020337726920843124,1.66730535030365,22.636861531581623,22.636861531581623,1381,34000,266.557373046875
42.53,0.5426537990570068,0.4573468565940857,42.53,0.482496052980423,0.12047645607244728,18,134,134.0,0.0007752918172627687,9,9.0,0.021791379898786545,1.6472151279449463,23.72781279427162,23.72781279427162,1429,36000,169.13970947265625
35.26,0.49493592977523804,0.5050641894340515,35.26,0.4554540514945984,0.1244246838675116,19,89,89.0,0.000661094207316637,8,8.0,0.02421671897172928,1.6076613664627075,19.839163288808326,19.839163288808326,1489,38000,170.57005310058594
34.87,0.5175368785858154,0.48246318101882935,34.87,0.4417332708835602,0.1406377277491866,20,89,89.0,0.0005447459989227355,6,6.0,0.01448128279298544,1.5879071950912476,21.416187802687947,21.416187802687947,1546,40000,143.4530792236328
36.82,0.5064460635185242,0.49355408549308777,36.82,0.42923402786254883,0.11426855219907472,21,118,118.0,0.0005020299577154219,6,6.0,0.034174591302871704,1.5706599950790405,21.660738676231706,21.660738676231706,1595,42000,211.40350341796875
42.95,0.5215296745300293,0.47847020626068115,42.95,0.4239735007286072,0.056518820374556245,22,204,204.0,0.0004164559068158269,10,10.0,0.029712019488215446,1.5631417036056519,29.65278233151149,29.65278233151149,1639,44000,334.2243957519531
43.18,0.5316652655601501,0.46833476424217224,43.18,0.40294644236564636,0.12119895308594453,23,204,204.0,0.0003676187479868531,10,10.0,0.02024000883102417,1.5330767631530762,30.092650265471796,30.092650265471796,1690,46000,223.19720458984375
40.45,0.5252690315246582,0.47473111748695374,40.45,0.3920784592628479,0.1213345229778593,24,123,123.0,0.0004352227260824293,10,10.0,0.0321011021733284,1.516645073890686,23.323110855972878,23.323110855972878,1737,48000,217.3609161376953
42.52,0.5049692392349243,0.49503058195114136,42.52,0.3918973207473755,0.1485883117933149,25,134,134.0,0.00032017327612265944,9,9.0,0.022708408534526825,1.5179412364959717,24.600195121177393,24.600195121177393,1781,50000,219.7342529296875
46.13,0.5008050799369812,0.49919456243515015,46.13,0.3807651102542877,0.15711074371131217,26,137,137.0,0.0004288092895876616,9,9.0,0.027527939528226852,1.5023542642593384,26.250582850672096,26.250582850672096,1821,52000,246.92333984375
