# {"t_start": 1558370277.985079} 
r,l,t
9.0,9,0.02325
9.0,9,0.023334
11.0,11,0.024467
11.0,11,0.024509
10.0,10,0.028857
12.0,12,0.031557
16.0,16,0.032867
19.0,19,0.035605
10.0,10,0.037254
16.0,16,0.038373
13.0,13,0.039994
11.0,11,0.041704
10.0,10,0.043909
11.0,11,0.046157
13.0,13,0.048912
8.0,8,0.050575
26.0,26,0.051683
10.0,10,0.055889
14.0,14,0.059077
31.0,31,0.060754
15.0,15,0.064045
9.0,9,0.065699
32.0,32,0.066287
19.0,19,0.06977
10.0,10,0.0714
10.0,10,0.071985
18.0,18,0.074238
9.0,9,0.076961
14.0,14,0.077557
11.0,11,0.077599
12.0,12,0.080766
9.0,9,0.082455
12.0,12,0.084094
10.0,10,0.089433
27.0,27,0.092201
20.0,20,0.092259
8.0,8,0.098083
12.0,12,0.100245
37.0,37,0.104894
31.0,31,0.108714
20.0,20,0.111407
14.0,14,0.112521
13.0,13,0.115775
11.0,11,0.11864
16.0,16,0.124518
28.0,28,0.126731
52.0,52,0.126777
17.0,17,0.127877
12.0,12,0.131651
9.0,9,0.132456
15.0,15,0.13775
20.0,20,0.139456
6.0,6,0.14112
16.0,16,0.141694
8.0,8,0.144033
5.0,5,0.144086
14.0,14,0.149529
11.0,11,0.150129
32.0,32,0.151241
24.0,24,0.157001
18.0,18,0.159163
18.0,18,0.159754
17.0,17,0.160342
10.0,10,0.162503
7.0,7,0.16621
12.0,12,0.166255
13.0,13,0.167359
9.0,9,0.171137
31.0,31,0.17593
20.0,20,0.178079
11.0,11,0.181838
30.0,30,0.1893
17.0,17,0.189357
13.0,13,0.190986
46.0,46,0.19313
7.0,7,0.193174
14.0,14,0.19709
12.0,12,0.199828
11.0,11,0.205791
20.0,20,0.207938
31.0,31,0.207984
7.0,7,0.209601
30.0,30,0.209645
9.0,9,0.21291
9.0,9,0.214529
17.0,17,0.217208
8.0,8,0.217254
16.0,16,0.218493
7.0,7,0.221271
8.0,8,0.221879
11.0,11,0.224579
13.0,13,0.228276
27.0,27,0.229392
22.0,22,0.233839
21.0,21,0.236028
12.0,12,0.236073
22.0,22,0.240262
13.0,13,0.242979
9.0,9,0.247787
31.0,31,0.250492
28.0,28,0.251094
8.0,8,0.252228
27.0,27,0.25505
10.0,10,0.256685
13.0,13,0.257788
11.0,11,0.258371
11.0,11,0.262583
9.0,9,0.263173
17.0,17,0.26428
8.0,8,0.267619
18.0,18,0.267668
21.0,21,0.274046
19.0,19,0.277762
26.0,26,0.278377
22.0,22,0.279509
17.0,17,0.283261
12.0,12,0.284908
10.0,10,0.284952
19.0,19,0.288167
14.0,14,0.290848
14.0,14,0.295629
9.0,9,0.295677
12.0,12,1.727557
38.0,38,1.731511
43.0,43,1.73466
13.0,13,1.736114
10.0,10,1.738124
33.0,33,1.741415
11.0,11,1.743379
15.0,15,1.744677
11.0,11,1.745377
9.0,9,1.749191
8.0,8,1.749884
18.0,18,1.756797
13.0,13,1.758113
18.0,18,1.760641
32.0,32,1.761967
10.0,10,1.767025
14.0,14,1.767082
18.0,18,1.768357
14.0,14,1.770969
9.0,9,1.774206
19.0,19,1.779256
9.0,9,1.779953
33.0,33,1.788086
18.0,18,1.791239
19.0,19,1.791293
8.0,8,1.796373
14.0,14,1.797086
9.0,9,1.797133
53.0,53,1.804628
22.0,22,1.810256
26.0,26,1.813422
18.0,18,1.815951
30.0,30,1.816003
8.0,8,1.821021
17.0,17,1.821075
13.0,13,1.824373
9.0,9,1.826918
21.0,21,1.826969
8.0,8,1.829532
16.0,16,1.831503
11.0,11,1.83425
15.0,15,1.836828
21.0,21,1.843113
13.0,13,1.845077
10.0,10,1.84966
38.0,38,1.855953
14.0,14,1.858486
12.0,12,1.863489
51.0,51,1.866647
35.0,35,1.867332
15.0,15,1.868017
10.0,10,1.869968
12.0,12,1.875017
16.0,16,1.876965
19.0,19,1.882058
17.0,17,1.88591
28.0,28,1.885962
13.0,13,1.890333
22.0,22,1.891045
13.0,13,1.894225
22.0,22,1.8993
21.0,21,1.902531
23.0,23,1.904152
10.0,10,1.904735
8.0,8,1.906889
27.0,27,1.909068
8.0,8,1.911357
14.0,14,1.912697
15.0,15,1.912752
11.0,11,1.918684
18.0,18,1.922517
9.0,9,1.923833
29.0,29,1.925498
8.0,8,1.928273
10.0,10,1.931164
17.0,17,1.932318
9.0,9,1.933513
44.0,44,1.936364
10.0,10,1.939207
15.0,15,1.939817
18.0,18,1.942592
13.0,13,1.943714
10.0,10,1.945355
11.0,11,1.948521
11.0,11,1.949666
22.0,22,1.951418
15.0,15,1.957707
20.0,20,1.959337
28.0,28,1.960447
22.0,22,1.96324
13.0,13,1.964964
11.0,11,1.969436
19.0,19,1.97117
22.0,22,1.971782
13.0,13,1.978456
17.0,17,1.979062
33.0,33,1.983538
12.0,12,1.985808
30.0,30,1.988628
11.0,11,1.989795
9.0,9,1.990996
8.0,8,1.995514
13.0,13,1.997247
37.0,37,1.999531
19.0,19,1.999579
11.0,11,2.001829
12.0,12,2.004165
9.0,9,2.004792
12.0,12,2.008724
9.0,9,2.009896
11.0,11,2.010531
22.0,22,2.012253
11.0,11,2.016467
14.0,14,2.017211
8.0,8,2.017253
17.0,17,2.020651
8.0,8,2.021273
10.0,10,2.022981
11.0,11,2.023579
12.0,12,2.237756
15.0,15,2.24178
22.0,22,2.243897
19.0,19,2.245298
10.0,10,2.248578
8.0,8,2.250596
11.0,11,2.251317
18.0,18,2.26139
36.0,36,2.262777
18.0,18,2.26349
33.0,33,2.273903
21.0,21,2.277221
35.0,35,2.284318
19.0,19,2.286369
14.0,14,2.286425
38.0,38,2.287761
9.0,9,2.292344
9.0,9,2.293724
15.0,15,2.29446
13.0,13,2.295168
13.0,13,2.301078
17.0,17,2.306303
19.0,19,2.307014
10.0,10,2.312921
14.0,14,2.316241
35.0,35,2.316969
7.0,7,2.317672
26.0,26,2.318373
12.0,12,2.325496
14.0,14,2.327482
17.0,17,2.327535
21.0,21,2.330811
5.0,5,2.330865
11.0,11,2.338225
21.0,21,2.339614
22.0,22,2.345656
21.0,21,2.352338
20.0,20,2.353069
41.0,41,2.355056
10.0,10,2.358998
12.0,12,2.36102
12.0,12,2.366801
13.0,13,2.369326
12.0,12,2.374252
13.0,13,2.377364
10.0,10,2.380494
56.0,56,2.381792
11.0,11,2.384305
46.0,46,2.384357
9.0,9,2.387392
14.0,14,2.389293
11.0,11,2.391167
18.0,18,2.39541
13.0,13,2.395461
8.0,8,2.400342
16.0,16,2.401009
11.0,11,2.40229
26.0,26,2.405386
16.0,16,2.412164
25.0,25,2.416513
9.0,9,2.41778
38.0,38,2.423663
12.0,12,2.423714
12.0,12,2.424884
41.0,41,2.429957
14.0,14,2.431681
11.0,11,2.436339
23.0,23,2.436972
29.0,29,2.441498
18.0,18,2.442165
11.0,11,2.443342
15.0,15,2.445057
9.0,9,2.446838
12.0,12,2.450253
11.0,11,2.45146
25.0,25,2.456904
15.0,15,2.459231
22.0,22,2.459856
22.0,22,2.464437
10.0,10,2.46505
14.0,14,2.46509
13.0,13,2.467444
6.0,6,2.4709
12.0,12,2.472104
14.0,14,2.472708
16.0,16,2.474465
8.0,8,2.477348
13.0,13,2.478577
14.0,14,2.482685
21.0,21,2.484463
17.0,17,2.487278
18.0,18,2.489031
9.0,9,2.49416
21.0,21,2.494755
9.0,9,2.499336
22.0,22,2.499922
34.0,34,2.504011
22.0,22,2.516518
40.0,40,2.517765
34.0,34,2.519479
40.0,40,2.522366
12.0,12,2.524691
12.0,12,2.526494
10.0,10,2.528231
11.0,11,2.531092
28.0,28,2.532852
11.0,11,2.532902
10.0,10,2.53715
10.0,10,2.538984
