# {"t_start": 1558272400.1933289} 
r,l,t
11.0,11,2.329519
19.0,19,2.334123
37.0,37,2.343666
21.0,21,2.348994
60.0,60,2.349956
31.0,31,2.351807
13.0,13,2.35364
13.0,13,2.359035
13.0,13,2.361375
11.0,11,2.366657
15.0,15,2.371882
27.0,27,2.37295
32.0,32,2.373017
15.0,15,2.38251
14.0,14,2.382567
16.0,16,2.383871
26.0,26,2.3845
9.0,9,2.389165
10.0,10,2.391961
17.0,17,2.394266
15.0,15,2.399398
31.0,31,2.405422
23.0,23,2.40786
12.0,12,2.407915
24.0,24,2.410795
14.0,14,2.415266
13.0,13,2.419536
18.0,18,2.419591
14.0,14,2.424879
10.0,10,2.426716
10.0,10,2.42676
37.0,37,2.433073
10.0,10,2.433696
12.0,12,2.434853
19.0,19,2.437724
18.0,18,2.444877
14.0,14,2.447544
20.0,20,2.448944
28.0,28,2.45243
10.0,10,2.686796
18.0,18,2.686874
26.0,26,2.690589
26.0,26,2.69455
19.0,19,2.701383
23.0,23,2.704183
27.0,27,2.711131
27.0,27,2.714726
21.0,21,2.720032
9.0,9,2.721558
17.0,17,2.724035
32.0,32,2.725827
9.0,9,2.727336
9.0,9,2.730807
23.0,23,2.743121
17.0,17,2.743899
14.0,14,2.753206
42.0,42,2.753278
16.0,16,2.756003
38.0,38,2.756079
10.0,10,2.762481
8.0,8,2.763392
13.0,13,2.7681
12.0,12,2.773102
15.0,15,2.775006
25.0,25,2.775079
18.0,18,2.784218
9.0,9,2.792105
31.0,31,2.803181
14.0,14,2.804088
39.0,39,2.809605
10.0,10,2.811566
45.0,45,2.812342
17.0,17,2.816323
16.0,16,2.821736
12.0,12,2.821808
18.0,18,2.829585
29.0,29,2.833446
20.0,20,2.836004
13.0,13,2.839907
14.0,14,2.845455
14.0,14,2.849275
16.0,16,2.853195
12.0,12,2.855327
18.0,18,2.862087
54.0,54,2.863438
14.0,14,2.863492
12.0,12,2.863524
12.0,12,2.869631
14.0,14,2.872906
21.0,21,2.876966
11.0,11,2.883507
26.0,26,2.888446
34.0,34,2.890848
45.0,45,2.891706
13.0,13,2.896613
8.0,8,2.90111
17.0,17,2.901759
20.0,20,2.90303
37.0,37,2.906316
18.0,18,2.914838
24.0,24,2.916568
30.0,30,2.921037
30.0,30,2.925166
19.0,19,2.926582
13.0,13,2.92892
20.0,20,2.928973
9.0,9,2.934069
20.0,20,2.93719
22.0,22,2.939776
19.0,19,2.94042
14.0,14,2.942774
11.0,11,2.946235
16.0,16,2.94691
19.0,19,2.952167
10.0,10,2.953109
23.0,23,2.957712
14.0,14,2.961307
26.0,26,2.963658
18.0,18,2.964249
17.0,17,2.968697
13.0,13,2.970505
8.0,8,2.970568
21.0,21,2.977638
17.0,17,2.979461
21.0,21,2.983157
14.0,14,2.989019
30.0,30,2.989849
16.0,16,2.998818
10.0,10,3.005277
45.0,45,3.006462
37.0,37,3.007083
9.0,9,3.011492
11.0,11,3.014043
18.0,18,3.019988
12.0,12,3.020049
10.0,10,3.021388
56.0,56,3.026928
10.0,10,3.027011
16.0,16,3.03183
8.0,8,3.259478
32.0,32,3.270339
46.0,46,3.273204
20.0,20,3.273268
41.0,41,3.276621
11.0,11,3.280771
10.0,10,3.288088
17.0,17,3.289058
32.0,32,3.296794
15.0,15,3.299602
40.0,40,3.299666
15.0,15,3.300398
20.0,20,3.310544
15.0,15,3.310616
32.0,32,3.32318
32.0,32,3.323253
20.0,20,3.325952
18.0,18,3.335481
15.0,15,3.336402
40.0,40,3.340393
12.0,12,3.344967
22.0,22,3.352586
21.0,21,3.355662
57.0,57,3.364651
13.0,13,3.365405
13.0,13,3.374978
43.0,43,3.376489
23.0,23,3.381208
39.0,39,3.381273
14.0,14,3.384941
10.0,10,3.389009
16.0,16,3.396028
44.0,44,3.407081
34.0,34,3.419071
19.0,19,3.420105
58.0,58,3.421866
59.0,59,3.434533
19.0,19,3.438554
26.0,26,3.444618
10.0,10,3.445284
22.0,22,3.449579
8.0,8,3.450441
11.0,11,3.452874
28.0,28,3.468104
30.0,30,3.469877
30.0,30,3.47257
72.0,72,3.473248
21.0,21,3.485576
37.0,37,3.49224
36.0,36,3.493425
12.0,12,3.494048
41.0,41,3.499745
20.0,20,3.506556
15.0,15,3.509155
34.0,34,3.513147
37.0,37,3.516556
21.0,21,3.519401
23.0,23,3.527622
20.0,20,3.528861
47.0,47,3.538095
15.0,15,3.538151
30.0,30,3.546146
21.0,21,3.551394
10.0,10,3.5527
53.0,53,3.552749
28.0,28,3.556468
12.0,12,3.563722
18.0,18,3.564589
28.0,28,3.569255
31.0,31,3.573102
10.0,10,3.575996
21.0,21,3.577176
22.0,22,3.578323
21.0,21,3.590479
27.0,27,3.595056
18.0,18,3.601353
47.0,47,3.825862
9.0,9,3.82822
11.0,11,3.833988
12.0,12,3.836982
33.0,33,3.838549
9.0,9,3.840634
9.0,9,3.843927
14.0,14,3.853909
95.0,95,3.857644
27.0,27,3.860769
17.0,17,3.866497
40.0,40,3.868251
23.0,23,3.877944
19.0,19,3.880608
38.0,38,3.885896
14.0,14,3.888119
11.0,11,3.888913
45.0,45,3.901393
21.0,21,3.903416
26.0,26,3.905011
33.0,33,3.912932
16.0,16,3.913003
17.0,17,3.917611
10.0,10,3.920335
12.0,12,3.922106
11.0,11,3.930143
22.0,22,3.934255
21.0,21,3.936318
19.0,19,3.944284
61.0,61,3.948936
17.0,17,3.949017
12.0,12,3.957424
13.0,13,3.958158
24.0,24,3.961265
24.0,24,3.974217
30.0,30,3.978622
12.0,12,3.982556
73.0,73,3.985704
36.0,36,3.986425
11.0,11,3.986479
12.0,12,3.994459
15.0,15,3.997394
27.0,27,4.001784
7.0,7,4.002489
9.0,9,4.008772
32.0,32,4.009489
29.0,29,4.014917
7.0,7,4.018947
21.0,21,4.023069
11.0,11,4.030072
17.0,17,4.030887
33.0,33,4.031558
11.0,11,4.038484
11.0,11,4.039378
57.0,57,4.040724
9.0,9,4.046526
26.0,26,4.047873
10.0,10,4.05291
25.0,25,4.056197
20.0,20,4.060765
44.0,44,4.067425
12.0,12,4.068634
20.0,20,4.068686
12.0,12,4.075371
37.0,37,4.07713
26.0,26,4.085323
27.0,27,4.086218
25.0,25,4.091586
26.0,26,4.094168
13.0,13,4.094255
11.0,11,4.098805
27.0,27,4.10417
17.0,17,4.105411
19.0,19,4.106576
14.0,14,4.10778
10.0,10,4.113127
15.0,15,4.113775
23.0,23,4.122763
16.0,16,4.123427
19.0,19,4.125717
38.0,38,4.130953
13.0,13,4.13282
19.0,19,4.136225
15.0,15,4.137239
10.0,10,4.13805
15.0,15,4.147366
18.0,18,4.148798
8.0,8,4.153861
13.0,13,4.155713
38.0,38,4.157434
34.0,34,4.158026
9.0,9,4.15942
9.0,9,4.161185
25.0,25,4.377221
30.0,30,4.382444
32.0,32,4.382506
14.0,14,4.386529
41.0,41,4.392011
30.0,30,4.402495
31.0,31,4.40325
6.0,6,4.407474
12.0,12,4.410791
31.0,31,4.412801
39.0,39,4.412854
12.0,12,4.415517
9.0,9,4.416915
14.0,14,4.422393
18.0,18,4.427607
18.0,18,4.42895
33.0,33,4.434818
27.0,27,4.440222
27.0,27,4.445486
31.0,31,4.449642
26.0,26,4.452417
16.0,16,4.456615
30.0,30,4.460636
18.0,18,4.464658
10.0,10,4.467389
33.0,33,4.472833
