AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
21.406593406593405,0.5006034970283508,0.4993964433670044,21.406593406593405,0.693145215511322,2.181267705347878e-07,1,88,88.0,0.000871788477525115,8,8.0,1.9999969005584717,12.783039950385174,12.783039950385174,91,2000,280.23858642578125
21.7,0.501738965511322,0.4982609450817108,21.7,0.6921228170394897,0.002396912036032983,2,72,72.0,0.001389599172398448,8,8.0,1.997954249382019,11.158404903927801,11.158404903927801,182,4000,218.6082000732422
24.67,0.5078251361846924,0.4921749532222748,24.67,0.6897860169410706,0.009798674095718551,3,89,89.0,0.0009670684230513871,9,9.0,1.9933022260665894,15.103016255039918,15.103016255039918,260,6000,312.1531982421875
29.76,0.5187073349952698,0.481292724609375,29.76,0.6861689686775208,0.022874367408252216,4,89,89.0,0.0013067445252090693,9,9.0,1.9861552715301514,18.265333284667978,18.265333284667978,321,8000,338.9886779785156
31.15,0.4896400570869446,0.510360062122345,31.15,0.677682638168335,0.01874032792873248,5,131,131.0,0.0009742619004100561,9,9.0,1.9696170091629028,21.83363231347455,21.83363231347455,385,10000,302.2867736816406
34.25,0.5094015002250671,0.49059855937957764,34.25,0.6731299161911011,-0.004707726115563027,6,131,131.0,0.0012101660249754786,7,7.0,1.9608228206634521,21.623309182454012,21.623309182454012,444,12000,168.24658203125
35.01,0.5060890316963196,0.49391108751296997,35.01,0.662645161151886,0.02051262371686946,7,121,121.0,0.0009320930694229901,7,7.0,1.9408612251281738,20.56477327859464,20.56477327859464,500,14000,211.20416259765625
38.73,0.50835120677948,0.4916486442089081,38.73,0.659270167350769,0.093255608973985,8,121,121.0,0.0009213989833369851,10,10.0,1.9345630407333374,22.508156299439545,22.508156299439545,546,16000,212.27301025390625
45.35,0.5012143850326538,0.49878549575805664,45.35,0.6495587825775146,0.08007628261422439,9,162,162.0,0.0006505469791591167,10,10.0,1.9168977737426758,28.172814910832045,28.172814910832045,581,18000,381.30621337890625
52.85,0.5109855532646179,0.48901423811912537,52.85,0.6402787566184998,0.12961722861225888,10,162,162.0,0.0010328199714422226,9,9.0,1.9000035524368286,31.428450486780285,31.428450486780285,616,20000,330.0211486816406
58.05,0.5044800639152527,0.4955199360847473,58.05,0.62818843126297,0.12619056115651506,11,164,164.0,0.0010403646156191826,9,9.0,1.878301739692688,35.64025112144975,35.64025112144975,650,22000,311.7574462890625
65.18,0.4845266044139862,0.5154731869697571,65.18,0.6273208260536194,0.17502611069957708,12,200,200.0,0.0009962691692635417,9,9.0,1.877982258796692,42.27798008419987,42.27798008419987,670,24000,560.6131591796875
71.2,0.5064860582351685,0.493513822555542,71.2,0.6128784418106079,0.1337263896399069,13,223,223.0,0.0008877172949723899,9,9.0,1.8521544933319092,45.704266759242515,45.704266759242515,694,26000,442.3518981933594
79.5,0.4890021085739136,0.5109979510307312,79.5,0.6099870800971985,0.14213540712182715,14,223,223.0,0.0009704052936285734,9,9.0,1.8478518724441528,46.11951864449585,46.11951864449585,715,28000,391.3145446777344
92.19,0.48563411831855774,0.5143659710884094,92.19,0.616282045841217,0.20059219328199762,15,282,282.0,0.0010009526740759611,9,9.0,1.8588465452194214,53.21084381965766,53.21084381965766,730,30000,559.6030883789062
102.93,0.49868035316467285,0.5013196468353271,102.93,0.6066530346870422,0.3570926289939561,16,283,283.0,0.0009874358074739575,9,9.0,1.8419455289840698,59.38994106749055,59.38994106749055,741,32000,472.2638244628906
113.36,0.4917738735675812,0.508226215839386,113.36,0.5918495059013367,0.6177321083608309,17,283,283.0,0.0008200910524465144,9,9.0,1.8175954818725586,62.65804337832454,62.65804337832454,754,34000,206.71408081054688
