ActualImprovement,AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExpectedImprovement,ExplainedVariance,ImprovementRatio,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
0.008675104625524455,22.773809523809526,0.4992044270038605,0.5007955431938171,22.773809523809526,0.6931436061859131,0.008654379285871983,6.386738843411344e-05,1.002394780603885,1,60,60.0,0.0009485408663749695,8,8.0,1.9999936819076538,10.620455544077139,10.620455544077139,84,2000,243.56234741210938
0.0075371477901882145,23.44,0.4991421401500702,0.5008578896522522,23.44,0.6920841932296753,0.0058575388044118885,-0.0025604291954550717,1.2867431257154025,2,70,70.0,0.0009697931236587465,9,9.0,1.9978766441345215,12.92386938962167,12.92386938962167,170,4000,254.00314331054688
0.007728999707836692,24.91,0.5003915429115295,0.49960842728614807,24.91,0.6894941926002502,0.007154515385627747,0.004379859187845336,1.0802967484510537,3,81,81.0,0.0007044389494694769,9,9.0,1.9927198886871338,14.069893389787998,14.069893389787998,248,6000,261.1783447265625
0.00825365904718467,29.04,0.49373310804367065,0.5062668323516846,29.04,0.686208188533783,0.008054998517036439,0.004778837909557576,1.0246630126285015,4,95,95.0,0.0006384876323863864,8,8.0,1.986220121383667,16.174622097594735,16.174622097594735,315,8000,260.447021484375
0.007510844968258823,35.91,0.49201852083206177,0.5079814791679382,35.91,0.6824139356613159,0.007299242913722992,-0.011219575489233469,1.0289895893364511,5,140,140.0,0.00065198028460145,9,9.0,1.978775143623352,23.94915238583612,23.94915238583612,361,10000,442.6471252441406
0.010480462118982459,40.53,0.4814330041408539,0.5185667872428894,40.53,0.6755498051643372,0.011115801520645618,0.015304218983960505,0.9428435816811653,6,140,140.0,0.0008526933961547911,9,9.0,1.965436577796936,25.791647872906456,25.791647872906456,411,12000,219.5714569091797
0.010292097724974525,41.61,0.4964247941970825,0.5035751461982727,41.61,0.6695064902305603,0.010021375492215157,0.010867842978379394,1.0270144784984527,7,143,143.0,0.00099805963691324,11,11.0,1.9537886381149292,25.809259966143934,25.809259966143934,458,14000,300.2856750488281
0.00883983287587764,41.91,0.49639803171157837,0.5036020278930664,41.91,0.6608706712722778,0.008739902824163438,-0.018825683230419443,1.0114337714874728,8,199,199.0,0.0006348867318592966,9,9.0,1.9373646974563599,30.452945670328837,30.452945670328837,505,16000,328.100341796875
0.006493945620954067,49.56,0.5006234645843506,0.49937644600868225,49.56,0.6532204151153564,0.0059796728193759925,0.07106901754906136,1.0860035017152898,9,199,199.0,0.0007490122225135565,9,9.0,1.92310631275177,37.58172960362521,37.58172960362521,533,18000,528.9375
0.009088302403688076,54.83,0.5027557015419006,0.49724432826042175,54.83,0.6462162733078003,0.009167914092540742,0.023375748279688136,0.9913162701952628,10,199,199.0,0.0006378745310939848,11,11.0,1.9102588891983032,40.24054050332823,40.24054050332823,568,20000,386.6720886230469
0.010472005434337461,66.73,0.4990984797477722,0.500901460647583,66.73,0.6419805288314819,0.010828249156475067,0.06878843863988748,0.9671005241023125,11,265,265.0,0.0009359418181702495,12,12.0,1.9027482271194458,45.612247258822926,45.612247258822926,593,22000,620.9662475585938
0.011944860652089773,74.85,0.48940303921699524,0.5105968713760376,74.85,0.6386343240737915,0.013084241189062595,0.14869065221313937,0.9129196320589645,12,281,281.0,0.0008579871500842273,12,12.0,1.8968706130981445,56.4622661606847,56.4622661606847,607,24000,1005.97900390625
0.008024347133934517,80.39,0.5188477635383606,0.48115235567092896,80.39,0.617841362953186,0.008466163650155067,0.15505790754191406,0.9478138464506934,13,281,281.0,0.0009709963342174888,12,12.0,1.8600176572799683,61.34833249567587,61.34833249567587,631,26000,599.734375
0.010915096357464904,91.2,0.4700676500797272,0.5299322605133057,91.2,0.6214913129806519,0.012082710862159729,0.020867117341492936,0.9033648559487155,14,372,372.0,0.0008908570744097233,12,12.0,1.866694450378418,69.85642418561088,69.85642418561088,645,28000,929.3570556640625
0.006932981807738159,104.68,0.5218625664710999,0.47813719511032104,104.68,0.610069751739502,0.008247190155088902,0.23208663569345012,0.8406477451547768,15,372,372.0,0.0006852401420474052,12,12.0,1.8473178148269653,72.89895472501647,72.89895472501647,659,30000,529.4403076171875
0.008012005686760304,114.48,0.4845621883869171,0.5154377818107605,114.48,0.607949435710907,0.008390020579099655,0.31258164848089187,0.9549447002214724,16,372,372.0,0.000924169784411788,12,12.0,1.8440303802490234,77.60031958697077,77.60031958697077,671,32000,490.512451171875
0.005954226884991698,127.22,0.4984531104564667,0.5015469789505005,127.22,0.6120678186416626,0.006128790229558945,0.15822731403724555,0.971517487460195,17,500,500.0,0.0006416488322429359,12,12.0,1.8516111373901367,95.11346697497679,95.11346697497679,679,34000,794.48046875
0.005761000771077107,137.78,0.5052549839019775,0.4947449564933777,137.78,0.6065098643302917,0.005425203591585159,0.7467645827471274,1.061895774752636,18,500,500.0,0.0006789392209611833,12,12.0,1.841530203819275,96.25731972167104,96.25731972167104,686,36000,316.2515869140625
0.008596972446888174,154.28,0.4930242598056793,0.5069759488105774,154.28,0.6139603853225708,0.009377554059028625,0.37268411543524627,0.9167606385175765,19,500,500.0,0.0008863052353262901,12,12.0,1.855159878730774,103.9450893500987,103.9450893500987,696,38000,461.6990966796875
