AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
23.178571428571427,0.5006362199783325,0.49936380982398987,23.178571428571427,0.6931452751159668,-4.819692032653755e-05,1,62,62.0,0.0007509554270654917,8,8.0,0.00016873246931936592,1.9999970197677612,12.423250776827519,12.423250776827519,84,2000,281.05511474609375
24.66,0.49169424176216125,0.5083058476448059,24.66,0.6924839615821838,-0.0007182728116537085,2,94,94.0,0.0008510517654940486,9,9.0,0.0033321811351925135,1.9986753463745117,13.648604324252352,13.648604324252352,165,4000,270.23919677734375
25.84,0.47839754819869995,0.5216027498245239,25.84,0.6900600790977478,0.00537468101226235,3,123,123.0,0.0007241464336402714,10,10.0,0.007888550870120525,1.993850588798523,16.57149359593154,16.57149359593154,243,6000,330.01556396484375
26.42,0.4786900579929352,0.5213102102279663,26.42,0.6873337626457214,-0.023645142800105212,4,125,125.0,0.0007342578028328717,9,9.0,0.006820958107709885,1.9884724617004395,19.664272170614403,19.664272170614403,320,8000,310.7457580566406
26.93,0.4753057658672333,0.5246940851211548,26.93,0.6844854950904846,0.01479034454969097,5,112,112.0,0.0006558598834089935,9,9.0,0.009372076019644737,1.9828708171844482,18.653822664537152,18.653822664537152,390,10000,258.3069763183594
27.94,0.4901508390903473,0.5098491311073303,27.94,0.6804613471031189,0.041961340059155416,6,112,112.0,0.0009575141593813896,8,8.0,0.010960943065583706,1.975081443786621,16.943329070758203,16.943329070758203,461,12000,134.81341552734375
30.41,0.5031883120536804,0.4968115985393524,30.41,0.6761358976364136,0.07521542169861473,7,87,87.0,0.0011473512277007103,8,8.0,0.019508495926856995,1.9668099880218506,17.193077095156642,17.193077095156642,527,14000,145.5417938232422
31.12,0.5061869025230408,0.49381309747695923,31.12,0.6703130602836609,0.05280456183180526,8,83,83.0,0.0011369644198566675,9,9.0,0.019243821501731873,1.9557682275772095,17.303340717907627,17.303340717907627,589,16000,147.66529846191406
33.7,0.5002822875976562,0.4997178018093109,33.7,0.6684566736221313,0.03574799492777303,9,89,89.0,0.0008184375474229455,10,10.0,0.0187532901763916,1.9522758722305298,17.93571855265353,17.93571855265353,647,18000,148.02442932128906
32.84,0.5157967209815979,0.4842034876346588,32.84,0.6565223932266235,0.08079353937915501,10,89,89.0,0.0008095061057247221,11,11.0,0.016341127455234528,1.9299845695495605,16.34302297618161,16.34302297618161,709,20000,122.34913635253906
34.83,0.5058041214942932,0.49419599771499634,34.83,0.653442919254303,0.05460645846976209,11,76,76.0,0.0006734460475854576,10,10.0,0.02142772451043129,1.9243675470352173,16.57953859430352,16.57953859430352,762,22000,155.61041259765625
40.2,0.4886402189731598,0.5113598108291626,40.2,0.6535022854804993,0.01164925475926748,12,145,145.0,0.0006540686590597034,10,10.0,0.018792424350976944,1.9245779514312744,22.43256561341123,22.43256561341123,808,24000,315.7499084472656
43.08,0.5094093680381775,0.49059054255485535,43.08,0.6406459212303162,0.0923370256424888,13,145,145.0,0.0007321285083889961,11,11.0,0.023084450513124466,1.9012712240219116,23.872863255169037,23.872863255169037,855,26000,182.42100524902344
42.34,0.4979204833507538,0.5020796060562134,42.34,0.6308620572090149,0.09455364687700063,14,102,102.0,0.0009168313117697835,11,11.0,0.02551613748073578,1.8842167854309082,18.873378076009605,18.873378076009605,902,28000,181.9597930908203
46.19,0.49075594544410706,0.5092440247535706,46.19,0.6344114542007446,0.09670866229386199,15,137,137.0,0.000994509318843484,13,13.0,0.006513846572488546,1.890289068222046,22.75991871690231,22.75991871690231,942,30000,233.85540771484375
51.77,0.4922029376029968,0.5077970623970032,51.77,0.6296526193618774,0.08891004928326274,16,148,148.0,0.0009671542211435735,13,13.0,0.008972764015197754,1.8818107843399048,29.636415100345726,29.636415100345726,974,32000,353.7729187011719
55.07,0.4914901852607727,0.5085098743438721,55.07,0.6218342185020447,0.12457073502295679,17,148,148.0,0.0007642465061508119,14,14.0,0.026416229084134102,1.8685749769210815,27.4737165305315,27.4737165305315,1010,34000,221.8385772705078
56.77,0.5044128894805908,0.49558722972869873,56.77,0.6164697408676147,0.14523691132031857,18,148,148.0,0.00031587042030878365,15,15.0,0.013844052329659462,1.859344482421875,27.073919184336795,27.073919184336795,1048,36000,206.34866333007812
54.1,0.5039566159248352,0.49604344367980957,54.1,0.6066006422042847,0.19996726202035842,19,119,119.0,0.0002577849372755736,15,15.0,0.016337202861905098,1.8425098657608032,21.937866806050216,21.937866806050216,1084,38000,176.35435485839844
55.88,0.524922251701355,0.47507810592651367,55.88,0.6032088994979858,0.26652170869113034,20,119,119.0,0.0003682976821437478,15,15.0,0.02547130174934864,1.836518406867981,23.377031462527487,23.377031462527487,1118,40000,192.53050231933594
56.12,0.5049111843109131,0.4950889050960541,56.12,0.5986080169677734,0.3257852779210456,21,111,111.0,0.0005733486614190042,16,16.0,0.021387586370110512,1.8291293382644653,21.849613268888767,21.849613268888767,1154,42000,153.1045684814453
61.08,0.495173841714859,0.5048261880874634,61.08,0.5984275341033936,0.22332254152752784,22,165,165.0,0.0005373582243919373,16,16.0,0.0191268902271986,1.8289291858673096,28.444570659442203,28.444570659442203,1182,44000,362.73516845703125
