ActualImprovement,AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExpectedImprovement,ExplainedVariance,ImprovementRatio,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
0.0035250697378046425,15.29,0.49961453676223755,0.5003854632377625,15.29,0.6931459903717041,0.0035167066380381584,7.91838157641056e-05,1.0023781056048364,1,40,40.0,0.0007398502784781158,6,6.0,1.9999991655349731,7.633210333797961,7.633210333797961,129,2000,126.35982513427734
0.0041093010231847416,15.6,0.48618000745773315,0.5138200521469116,15.6,0.6924035549163818,0.003564329445362091,-0.0023708932853889753,1.152895961548046,2,66,66.0,0.0007542258827015758,7,7.0,1.9985140562057495,9.838699100999074,9.838699100999074,253,4000,166.3203125
0.006076192371548217,18.09,0.4755277931690216,0.5244720578193665,18.09,0.6903096437454224,0.00494837798178196,-0.0034511731418962466,1.2279159744705113,3,67,67.0,0.0008998786215670407,6,6.0,1.9943442344665527,10.874828734283588,10.874828734283588,364,6000,137.90675354003906
0.004388352561740305,19.27,0.47158658504486084,0.5284133553504944,19.27,0.6866118907928467,0.0038989219814538957,0.004551077636161249,1.1255297188849884,4,57,57.0,0.0007949068094603717,6,6.0,1.9870221614837646,10.141848943856342,10.141848943856342,467,8000,91.13304901123047
0.004180699732154736,18.06,0.4734906256198883,0.5265092849731445,18.06,0.6832582354545593,0.003987391665577889,0.03158872865890483,1.0484798291187758,5,59,59.0,0.0006261602393351495,6,6.0,1.9804311990737915,10.419040262903296,10.419040262903296,578,10000,78.56489562988281
0.006380476634950227,20.4,0.47114846110343933,0.5288515686988831,20.4,0.6783766150474548,0.0058380916714668276,0.08655284535164742,1.0929044958533727,6,73,73.0,0.0007118670037016273,5,5.0,1.9709296226501465,13.001538370516005,13.001538370516005,677,12000,90.11763000488281
0.007130642367526363,22.45,0.48233750462532043,0.5176624655723572,22.45,0.6754872798919678,0.007156831212341785,0.0929641104771749,0.9963407206292276,7,98,98.0,0.0009537249570712447,6,6.0,1.9653257131576538,13.304416559924752,13.304416559924752,768,14000,104.44034576416016
0.0061917774863538,21.39,0.48462098836898804,0.5153793096542358,21.39,0.6682126522064209,0.006471522152423859,0.14278697692654896,0.9567729724968519,8,93,93.0,0.0008691680850461125,6,6.0,1.9513119459152222,14.66348867084501,14.66348867084501,858,16000,116.737548828125
0.006162345606833597,21.92,0.48437929153442383,0.5156206488609314,21.92,0.6594656109809875,0.007024445105344057,0.1657939495232854,0.8772715160298438,9,72,72.0,0.0007155059720389545,6,6.0,1.9348241090774536,13.728568752787014,13.728568752787014,947,18000,91.35799407958984
0.008321179593913208,21.91,0.4821281135082245,0.5178720355033875,21.91,0.6487573385238647,0.008527446538209915,0.16584628057420991,0.9758114057505418,10,75,75.0,0.0009390258346684277,5,5.0,1.9148865938186646,13.836975825663641,13.836975825663641,1034,20000,123.36251068115234
0.005131069872529537,26.54,0.4960121512413025,0.5039877891540527,26.54,0.6392127275466919,0.005891419481486082,0.10068431509187037,0.8709394889727406,11,118,118.0,0.0007758553838357329,6,6.0,1.897515892982483,19.335676869455593,19.335676869455593,1107,22000,174.4901885986328
0.007318771958351178,26.25,0.4826184809207916,0.5173817276954651,26.25,0.6279032230377197,0.008092951029539108,0.13330425128630408,0.9043390886263624,12,133,133.0,0.0008471101755276322,6,6.0,1.876872181892395,21.249176454629954,21.249176454629954,1185,24000,173.75645446777344
0.006684728479012848,27.73,0.4861925542354584,0.5138072967529297,27.73,0.614762544631958,0.006648877635598183,0.1056258731295211,1.0053920143187354,13,115,115.0,0.0009919489966705441,6,6.0,1.853791356086731,19.936326140991977,19.936326140991977,1252,26000,161.43212890625
0.006732123080641195,30.1,0.5040402412414551,0.49595996737480164,30.1,0.6082910895347595,0.007550072856247425,0.16584145112623294,0.8916633268075811,14,106,106.0,0.00083339330740273,6,6.0,1.8430182933807373,19.339855221795226,19.339855221795226,1322,28000,125.88613891601562
0.007736807484180375,28.22,0.5143108367919922,0.4856890141963959,28.22,0.5863720774650574,0.008077967911958694,0.1726065067562066,0.9577665532350949,15,78,78.0,0.000909789465367794,6,6.0,1.8049360513687134,17.643457711004384,17.643457711004384,1393,30000,136.19203186035156
0.007096248697489926,30.42,0.47587984800338745,0.5241196751594543,30.42,0.5751668214797974,0.007343584205955267,0.11633940975814538,0.9663195108098898,16,94,94.0,0.0009163322392851114,8,8.0,1.786982536315918,19.731791606440606,19.731791606440606,1454,32000,160.4762420654297
0.006501960789784711,34.29,0.4660489559173584,0.5339505076408386,34.29,0.5703104138374329,0.007140101864933968,0.13048048971422543,0.9106257743627922,17,141,141.0,0.0008557543624192476,6,6.0,1.7793656587600708,23.752176742353534,23.752176742353534,1508,34000,252.14266967773438
0.0064094345308838285,38.23,0.5074849724769592,0.49251502752304077,38.23,0.5534698963165283,0.007037097588181496,0.09956413869198755,0.910806543545481,18,152,152.0,0.0008385306573472917,6,6.0,1.7510185241699219,27.830147322642762,27.830147322642762,1559,36000,245.25119018554688
0.006804191138595428,44.36,0.5015808939933777,0.4984191060066223,44.36,0.5493581295013428,0.00730285095050931,0.14150368568511607,0.9317171040059219,19,152,152.0,0.0009158745524473488,6,6.0,1.74517023563385,30.986616465822788,30.986616465822788,1598,38000,342.0984802246094
