# {"t_start": 1558271003.053013} 
r,l,t
25.0,25,2.977376
28.0,28,2.981122
25.0,25,2.982418
49.0,49,2.983104
22.0,22,2.996726
26.0,26,2.999854
42.0,42,3.004533
13.0,13,3.00532
16.0,16,3.010476
51.0,51,3.014243
9.0,9,3.016136
20.0,20,3.017433
22.0,22,3.019363
15.0,15,3.025894
19.0,19,3.026583
20.0,20,3.030272
10.0,10,3.031963
14.0,14,3.038934
22.0,22,3.040237
48.0,48,3.049312
18.0,18,3.04994
37.0,37,3.054959
13.0,13,3.058109
22.0,22,3.062734
14.0,14,3.066195
20.0,20,3.066786
15.0,15,3.071983
13.0,13,3.075142
59.0,59,3.076331
18.0,18,3.077598
16.0,16,3.082594
9.0,9,3.082652
10.0,10,3.08478
28.0,28,3.093378
19.0,19,3.094605
21.0,21,3.095801
12.0,12,3.101883
17.0,17,3.104108
34.0,34,3.105943
24.0,24,3.110644
16.0,16,3.11184
13.0,13,3.113618
8.0,8,3.116534
12.0,12,3.117728
10.0,10,3.119752
8.0,8,3.121598
11.0,11,3.127318
19.0,19,3.130165
15.0,15,3.131365
54.0,54,3.137371
12.0,12,3.138814
20.0,20,3.142549
14.0,14,3.146202
7.0,7,3.146867
23.0,23,3.15266
12.0,12,3.153387
14.0,14,3.155205
8.0,8,3.158448
58.0,58,3.162519
17.0,17,3.165495
23.0,23,3.16668
10.0,10,3.380369
19.0,19,3.381857
16.0,16,3.389594
14.0,14,3.390413
12.0,12,3.390469
28.0,28,3.396457
22.0,22,3.40473
16.0,16,3.407781
25.0,25,3.407855
16.0,16,3.415901
17.0,17,3.419252
20.0,20,3.421231
12.0,12,3.429504
22.0,22,3.430859
28.0,28,3.438163
73.0,73,3.440607
16.0,16,3.442095
21.0,21,3.444112
10.0,10,3.447424
22.0,22,3.453362
23.0,23,3.459571
29.0,29,3.461634
20.0,20,3.466928
36.0,36,3.483699
58.0,58,3.486836
52.0,52,3.49783
15.0,15,3.497901
25.0,25,3.501981
53.0,53,3.504162
12.0,12,3.506384
14.0,14,3.507788
21.0,21,3.515869
21.0,21,3.517759
17.0,17,3.518461
25.0,25,3.531665
43.0,43,3.533595
29.0,29,3.536342
14.0,14,3.540888
16.0,16,3.543957
43.0,43,3.545867
15.0,15,3.550109
26.0,26,3.552647
13.0,13,3.558429
24.0,24,3.559124
30.0,30,3.565149
16.0,16,3.568667
10.0,10,3.57118
33.0,33,3.573719
13.0,13,3.578897
13.0,13,3.581335
38.0,38,3.582524
12.0,12,3.590123
15.0,15,3.590796
39.0,39,3.592524
27.0,27,3.59541
13.0,13,3.597709
18.0,18,3.601355
26.0,26,3.608501
32.0,32,3.614701
18.0,18,3.626642
47.0,47,3.627321
37.0,37,3.631319
18.0,18,3.637259
12.0,12,3.638728
21.0,21,3.640015
13.0,13,3.646393
18.0,18,3.648147
22.0,22,3.652807
15.0,15,3.657323
26.0,26,3.66197
100.0,100,3.66261
15.0,15,3.666073
16.0,16,3.672335
23.0,23,3.675994
17.0,17,3.676774
42.0,42,3.678518
11.0,11,3.683172
21.0,21,3.685016
17.0,17,3.686398
27.0,27,3.694604
23.0,23,3.696964
32.0,32,3.917676
25.0,25,3.922524
9.0,9,3.92407
26.0,26,3.926146
50.0,50,3.928821
10.0,10,3.93283
16.0,16,3.934899
28.0,28,3.947571
24.0,24,3.950909
29.0,29,3.952341
47.0,47,3.954446
13.0,13,3.956664
18.0,18,3.963321
28.0,28,3.973306
28.0,28,3.975428
20.0,20,3.976782
46.0,46,3.983319
12.0,12,3.984731
30.0,30,3.995668
39.0,39,3.999656
25.0,25,4.001711
31.0,31,4.004724
9.0,9,4.010704
17.0,17,4.011465
27.0,27,4.014305
16.0,16,4.024889
35.0,35,4.025647
29.0,29,4.031826
14.0,14,4.036268
37.0,37,4.037028
19.0,19,4.038991
14.0,14,4.046569
12.0,12,4.054779
30.0,30,4.059551
36.0,36,4.060857
22.0,22,4.069251
16.0,16,4.071272
65.0,65,4.07603
16.0,16,4.079754
33.0,33,4.08115
21.0,21,4.084921
11.0,11,4.093065
26.0,26,4.093886
19.0,19,4.094636
12.0,12,4.101609
35.0,35,4.103749
9.0,9,4.107748
29.0,29,4.11179
17.0,17,4.114328
38.0,38,4.118534
19.0,19,4.119233
20.0,20,4.124447
17.0,17,4.12507
9.0,9,4.130222
24.0,24,4.133772
27.0,27,4.13508
13.0,13,4.13834
14.0,14,4.146876
40.0,40,4.148646
30.0,30,4.152261
10.0,10,4.152929
21.0,21,4.165138
52.0,52,4.168104
26.0,26,4.169984
37.0,37,4.172431
16.0,16,4.181632
22.0,22,4.182816
40.0,40,4.190348
23.0,23,4.19542
29.0,29,4.199981
33.0,33,4.210178
19.0,19,4.211933
27.0,27,4.211979
82.0,82,4.217134
18.0,18,4.223065
22.0,22,4.223708
32.0,32,4.231055
17.0,17,4.232795
26.0,26,4.23284
20.0,20,4.235367
17.0,17,4.456729
14.0,14,4.456818
15.0,15,4.460196
20.0,20,4.471131
42.0,42,4.477375
36.0,36,4.482701
32.0,32,4.483418
21.0,21,4.492509
36.0,36,4.497136
14.0,14,4.50179
28.0,28,4.503593
16.0,16,4.508536
11.0,11,4.509905
40.0,40,4.511295
14.0,14,4.513317
10.0,10,4.519979
20.0,20,4.523481
26.0,26,4.528794
14.0,14,4.529526
32.0,32,4.530247
17.0,17,4.534807
21.0,21,4.544184
30.0,30,4.548803
25.0,25,4.551518
45.0,45,4.560049
15.0,15,4.562097
22.0,22,4.564536
24.0,24,4.581174
53.0,53,4.581242
44.0,44,4.590399
15.0,15,4.591125
20.0,20,4.594291
62.0,62,4.604031
25.0,25,4.607397
44.0,44,4.622317
55.0,55,4.62585
19.0,19,4.634506
56.0,56,4.640026
26.0,26,4.642366
16.0,16,4.644699
15.0,15,4.651238
81.0,81,4.658428
36.0,36,4.661836
27.0,27,4.667621
40.0,40,4.669023
33.0,33,4.678502
22.0,22,4.681332
15.0,15,4.687343
17.0,17,4.697618
63.0,63,4.699964
38.0,38,4.705335
28.0,28,4.717638
33.0,33,4.718263
87.0,87,4.722747
35.0,35,4.726476
23.0,23,4.736266
18.0,18,4.736923
36.0,36,4.740203
16.0,16,4.746547
50.0,50,4.747754
22.0,22,4.753008
39.0,39,4.759838
14.0,14,4.761554
32.0,32,4.765529
35.0,35,4.768519
11.0,11,4.775274
31.0,31,4.990968
31.0,31,4.99306
31.0,31,4.997712
30.0,30,5.008015
16.0,16,5.008767
28.0,28,5.010146
31.0,31,5.014157
14.0,14,5.017496
20.0,20,5.030966
37.0,37,5.033638
36.0,36,5.034437
37.0,37,5.05604
62.0,62,5.056112
40.0,40,5.061013
17.0,17,5.067623
61.0,61,5.075825
37.0,37,5.081075
12.0,12,5.089305
51.0,51,5.095545
34.0,34,5.09891
10.0,10,5.10296
19.0,19,5.103031
76.0,76,5.121258
26.0,26,5.12208
18.0,18,5.132979
50.0,50,5.134314
47.0,47,5.135861
31.0,31,5.153125
32.0,32,5.156542
57.0,57,5.159058
30.0,30,5.172344
59.0,59,5.172414
20.0,20,5.184255
44.0,44,5.186122
52.0,52,5.189056
43.0,43,5.198498
19.0,19,5.200322
39.0,39,5.209961
57.0,57,5.218682
17.0,17,5.220043
22.0,22,5.232783
25.0,25,5.233453
76.0,76,5.244715
22.0,22,5.247836
23.0,23,5.249131
81.0,81,5.251254
13.0,13,5.25784
19.0,19,5.268618
37.0,37,5.273635
49.0,49,5.27717
19.0,19,5.280761
52.0,52,5.283629
12.0,12,5.288037
24.0,24,5.288097
19.0,19,5.29745
25.0,25,5.306111
29.0,29,5.315109
48.0,48,5.532272
66.0,66,5.532357
28.0,28,5.53569
26.0,26,5.546411
23.0,23,5.549251
13.0,13,5.556288
11.0,11,5.557881
10.0,10,5.563198
44.0,44,5.568404
55.0,55,5.573796
15.0,15,5.579778
19.0,19,5.586644
36.0,36,5.589331
20.0,20,5.593353
15.0,15,5.596698
15.0,15,5.599337
13.0,13,5.602358
68.0,68,5.606058
30.0,30,5.619928
30.0,30,5.626214
46.0,46,5.628288
39.0,39,5.629015
15.0,15,5.638569
30.0,30,5.640813
30.0,30,5.646707
10.0,10,5.647425
29.0,29,5.648775
28.0,28,5.667036
36.0,36,5.67057
14.0,14,5.679866
57.0,57,5.68523
22.0,22,5.694923
29.0,29,5.704939
119.0,119,5.717894
83.0,83,5.722188
39.0,39,5.729255
24.0,24,5.732269
64.0,64,5.735304
19.0,19,5.741199
22.0,22,5.745822
27.0,27,5.761763
45.0,45,5.76238
72.0,72,5.765351
19.0,19,5.776685
24.0,24,5.790791
54.0,54,5.793685
99.0,99,5.799469
13.0,13,5.801338
69.0,69,5.803129
25.0,25,5.806119
19.0,19,5.811345
17.0,17,5.81197
22.0,22,5.824457
40.0,40,5.827359
15.0,15,5.833167
24.0,24,5.842258
25.0,25,5.848454
77.0,77,5.851954
72.0,72,6.128681
22.0,22,6.145144
48.0,48,6.155557
43.0,43,6.156339
17.0,17,6.157156
21.0,21,6.174278
43.0,43,6.193081
33.0,33,6.200365
116.0,116,6.202601
13.0,13,6.203487
65.0,65,6.20959
22.0,22,6.218391
27.0,27,6.222505
20.0,20,6.232393
19.0,19,6.235904
56.0,56,6.240215
63.0,63,6.253904
42.0,42,6.269114
59.0,59,6.27943
47.0,47,6.288
87.0,87,6.294934
38.0,38,6.304367
32.0,32,6.30898
25.0,25,6.311215
61.0,61,6.31273
17.0,17,6.322546
35.0,35,6.330647
32.0,32,6.330706
18.0,18,6.333534
49.0,49,6.334708
11.0,11,6.341985
20.0,20,6.347038
17.0,17,6.353223
41.0,41,6.357156
41.0,41,6.357214
20.0,20,6.359592
17.0,17,6.364126
16.0,16,6.367076
17.0,17,6.370157
30.0,30,6.375767
15.0,15,6.379635
20.0,20,6.387824
35.0,35,6.388592
43.0,43,6.390555
24.0,24,6.402595
28.0,28,6.405497
58.0,58,6.415983
50.0,50,6.424106
36.0,36,6.428033
13.0,13,6.437147
37.0,37,6.443051
29.0,29,6.44491
64.0,64,6.452397
27.0,27,6.457208
28.0,28,6.462842
26.0,26,6.468463
19.0,19,6.476434
25.0,25,6.726836
26.0,26,6.73355
24.0,24,6.749944
78.0,78,6.750017
95.0,95,6.750052
15.0,15,6.760164
22.0,22,6.765744
13.0,13,6.7699
69.0,69,6.774752
18.0,18,6.782116
48.0,48,6.783535
48.0,48,6.807162
40.0,40,6.809192
77.0,77,6.818096
55.0,55,6.820975
24.0,24,6.823801
27.0,27,6.836652
22.0,22,6.839151
33.0,33,6.844218
55.0,55,6.847558
19.0,19,6.852049
21.0,21,6.857996
13.0,13,6.860691
41.0,41,6.864575
32.0,32,6.86829
35.0,35,6.880367
26.0,26,6.884653
42.0,42,6.887428
44.0,44,6.892535
33.0,33,6.900965
30.0,30,6.905641
28.0,28,6.909147
45.0,45,6.912385
26.0,26,6.916724
18.0,18,6.920324
25.0,25,6.921004
14.0,14,6.925145
18.0,18,6.931109
20.0,20,6.943168
37.0,37,6.948313
64.0,64,6.951762
18.0,18,6.954749
16.0,16,6.957791
69.0,69,6.963257
29.0,29,6.968949
44.0,44,6.98368
14.0,14,6.991803
54.0,54,7.000576
81.0,81,7.002565
36.0,36,7.013309
25.0,25,7.017401
14.0,14,7.021473
43.0,43,7.026127
24.0,24,7.03556
33.0,33,7.255516
127.0,127,7.256956
21.0,21,7.257693
10.0,10,7.262959
27.0,27,7.273004
24.0,24,7.274387
19.0,19,7.27579
27.0,27,7.294417
60.0,60,7.300004
53.0,53,7.310824
55.0,55,7.315254
43.0,43,7.3239
48.0,48,7.33279
27.0,27,7.333558
35.0,35,7.334973
12.0,12,7.342845
23.0,23,7.348369
40.0,40,7.362352
56.0,56,7.363781
37.0,37,7.377049
50.0,50,7.380674
34.0,34,7.389219
23.0,23,7.397354
56.0,56,7.404263
39.0,39,7.405621
26.0,26,7.408856
24.0,24,7.422541
75.0,75,7.452769
73.0,73,7.461787
78.0,78,7.462421
29.0,29,7.472631
76.0,76,7.476178
28.0,28,7.480974
36.0,36,7.486703
23.0,23,7.488041
34.0,34,7.498777
34.0,34,7.507984
31.0,31,7.516876
14.0,14,7.524846
80.0,80,7.529845
42.0,42,7.532732
87.0,87,7.540017
45.0,45,7.557604
31.0,31,7.559946
10.0,10,7.563805
64.0,64,7.564516
72.0,72,7.577986
29.0,29,7.578612
16.0,16,7.587897
55.0,55,7.832283
60.0,60,7.836594
23.0,23,7.837371
40.0,40,7.837423
23.0,23,7.848954
39.0,39,7.866322
25.0,25,7.868378
47.0,47,7.87236
53.0,53,7.876367
21.0,21,7.892571
37.0,37,7.89351
34.0,34,7.897723
53.0,53,7.906463
18.0,18,7.910383
29.0,29,7.913681
23.0,23,7.9232
26.0,26,7.92883
14.0,14,7.933037
57.0,57,7.953499
32.0,32,7.955411
88.0,88,7.955468
47.0,47,7.961761
23.0,23,7.976754
37.0,37,7.980153
40.0,40,7.980221
59.0,59,7.997611
29.0,29,7.998949
30.0,30,8.003098
31.0,31,8.00398
35.0,35,8.029196
46.0,46,8.036409
61.0,61,8.042048
65.0,65,8.045904
29.0,29,8.055477
45.0,45,8.058923
43.0,43,8.068965
22.0,22,8.069596
49.0,49,8.08855
77.0,77,8.092707
45.0,45,8.09782
56.0,56,8.103862
36.0,36,8.112308
30.0,30,8.116979
40.0,40,8.119434
24.0,24,8.127947
43.0,43,8.130833
47.0,47,8.147717
48.0,48,8.162402
62.0,62,8.169054
53.0,53,8.427818
39.0,39,8.440927
24.0,24,8.444601
126.0,126,8.449814
74.0,74,8.46094
29.0,29,8.463085
39.0,39,8.478286
31.0,31,8.484995
16.0,16,8.491192
24.0,24,8.505889
80.0,80,8.506647
73.0,73,8.516208
46.0,46,8.52534
48.0,48,8.539055
36.0,36,8.541134
53.0,53,8.543549
16.0,16,8.554916
49.0,49,8.559601
49.0,49,8.57566
35.0,35,8.579056
28.0,28,8.595302
25.0,25,8.596862
64.0,64,8.605101
95.0,95,8.606639
17.0,17,8.618268
34.0,34,8.62174
45.0,45,8.628576
44.0,44,8.638593
35.0,35,8.644172
42.0,42,8.653946
16.0,16,8.656057
46.0,46,8.672354
61.0,61,8.673303
43.0,43,8.684271
19.0,19,8.686308
65.0,65,8.702036
33.0,33,8.707899
52.0,52,8.710502
37.0,37,8.712422
37.0,37,8.733648
47.0,47,8.734827
33.0,33,8.73557
48.0,48,8.743686
26.0,26,8.76341
48.0,48,8.771971
50.0,50,8.773008
55.0,55,8.775632
18.0,18,9.005773
40.0,40,9.024695
59.0,59,9.031568
46.0,46,9.032635
14.0,14,9.044751
56.0,56,9.052339
33.0,33,9.052412
29.0,29,9.069016
32.0,32,9.093955
65.0,65,9.105066
92.0,92,9.127381
19.0,19,9.142728
21.0,21,9.159783
89.0,89,9.16551
173.0,173,9.17092
105.0,105,9.187384
64.0,64,9.216416
76.0,76,9.218882
108.0,108,9.233067
70.0,70,9.233128
31.0,31,9.238445
24.0,24,9.249584
25.0,25,9.250224
65.0,65,9.258068
15.0,15,9.260464
51.0,51,9.284289
55.0,55,9.29639
88.0,88,9.298184
79.0,79,9.315299
35.0,35,9.322911
26.0,26,9.332834
64.0,64,9.340358
88.0,88,9.345838
30.0,30,9.353843
17.0,17,9.356746
31.0,31,9.362029
84.0,84,9.60527
41.0,41,9.61494
48.0,48,9.615015
33.0,33,9.637574
35.0,35,9.639111
61.0,61,9.648449
109.0,109,9.65489
57.0,57,9.681582
61.0,61,9.682976
76.0,76,9.706997
35.0,35,9.710226
48.0,48,9.72136
102.0,102,9.732451
42.0,42,9.742235
57.0,57,9.751924
24.0,24,9.753446
19.0,19,9.766953
59.0,59,9.767033
61.0,61,9.787332
41.0,41,9.796925
44.0,44,9.799148
79.0,79,9.808457
24.0,24,9.813275
18.0,18,9.824715
30.0,30,9.827931
60.0,60,9.828563
25.0,25,9.839794
20.0,20,9.84044
26.0,26,9.85618
54.0,54,9.861218
57.0,57,9.874634
24.0,24,9.875258
58.0,58,9.891198
152.0,152,9.893089
47.0,47,9.903651
49.0,49,9.90445
38.0,38,9.914494
39.0,39,9.916831
25.0,25,9.918545
40.0,40,9.928086
70.0,70,10.182551
84.0,84,10.18743
17.0,17,10.194322
79.0,79,10.199847
100.0,100,10.201277
35.0,35,10.218023
61.0,61,10.228883
