# {"t_start": 1558865215.635071} 
r,l,t
13.0,13,0.028668
13.0,13,0.028762
13.0,13,0.028787
11.0,11,0.036158
16.0,16,0.038767
34.0,34,0.041483
17.0,17,0.049267
40.0,40,0.053783
30.0,30,0.054523
20.0,20,0.06228
34.0,34,0.063813
16.0,16,0.06524
20.0,20,0.067131
12.0,12,0.070397
13.0,13,0.073597
17.0,17,0.078271
28.0,28,0.082113
16.0,16,0.088398
27.0,27,0.090879
11.0,11,0.096917
43.0,43,0.096973
16.0,16,0.09756
31.0,31,0.100199
20.0,20,0.10754
28.0,28,0.112401
39.0,39,0.117676
33.0,33,0.117726
14.0,14,0.119845
10.0,10,0.12515
35.0,35,0.126242
17.0,17,0.126841
19.0,19,0.128123
11.0,11,0.132822
13.0,13,0.133408
19.0,19,0.138049
16.0,16,0.14136
17.0,17,0.15001
38.0,38,0.153082
57.0,57,0.155282
13.0,13,0.156876
15.0,15,0.161116
44.0,44,0.161166
15.0,15,0.165291
23.0,23,0.16791
14.0,14,0.168988
15.0,15,0.169649
12.0,12,0.17504
23.0,23,0.178354
20.0,20,0.181105
27.0,27,0.184169
20.0,20,0.185813
21.0,21,0.193703
19.0,19,0.195878
38.0,38,0.200003
21.0,21,0.204846
22.0,22,0.207437
15.0,15,0.208018
13.0,13,0.214128
52.0,52,0.214701
24.0,24,0.220622
38.0,38,0.22479
15.0,15,0.228343
18.0,18,0.233966
13.0,13,0.235094
47.0,47,0.239148
15.0,15,0.242947
56.0,56,0.24354
24.0,24,0.246816
9.0,9,0.248437
25.0,25,0.255945
19.0,19,0.256544
35.0,35,0.257684
12.0,12,0.262447
12.0,12,0.263079
22.0,22,0.269328
22.0,22,0.275434
55.0,55,0.278343
17.0,17,0.279431
30.0,30,0.279473
13.0,13,0.285799
12.0,12,0.286481
15.0,15,0.288259
27.0,27,0.290943
11.0,11,0.29423
18.0,18,0.296382
12.0,12,0.297489
27.0,27,0.300566
14.0,14,0.301641
12.0,12,1.674306
15.0,15,1.677616
13.0,13,1.681486
18.0,18,1.683421
13.0,13,1.685932
22.0,22,1.688378
16.0,16,1.6914
16.0,16,1.698113
32.0,32,1.702921
20.0,20,1.703643
32.0,32,1.705593
13.0,13,1.711138
16.0,16,1.713719
30.0,30,1.716778
17.0,17,1.723895
39.0,39,1.729426
34.0,34,1.731913
29.0,29,1.734358
15.0,15,1.738669
25.0,25,1.739427
12.0,12,1.739474
12.0,12,1.741925
15.0,15,1.748516
13.0,13,1.749763
20.0,20,1.751054
22.0,22,1.752901
17.0,17,1.758999
18.0,18,1.760831
14.0,14,1.761501
15.0,15,1.769873
19.0,19,1.770655
40.0,40,1.776303
13.0,13,1.779268
18.0,18,1.781791
33.0,33,1.782457
12.0,12,1.786811
9.0,9,1.792264
32.0,32,1.796006
13.0,13,1.804502
23.0,23,1.806974
40.0,40,1.807643
41.0,41,1.807686
14.0,14,1.815946
29.0,29,1.824291
31.0,31,1.82611
45.0,45,1.831823
11.0,11,1.838493
42.0,42,1.84121
20.0,20,1.848981
18.0,18,1.850644
50.0,50,1.854392
60.0,60,1.858068
23.0,23,1.861169
20.0,20,1.865012
15.0,15,1.869269
38.0,38,1.870888
32.0,32,1.875301
17.0,17,1.878702
25.0,25,1.878759
17.0,17,1.880431
17.0,17,1.884511
17.0,17,1.889437
22.0,22,1.890544
19.0,19,1.894781
35.0,35,1.897452
20.0,20,1.901058
24.0,24,1.902193
15.0,15,1.905248
13.0,13,1.909008
29.0,29,1.910099
17.0,17,1.914424
13.0,13,1.916023
13.0,13,1.917086
41.0,41,1.922724
21.0,21,1.925609
29.0,29,1.932831
33.0,33,1.933991
15.0,15,1.934036
25.0,25,1.936724
13.0,13,1.940138
16.0,16,1.942925
18.0,18,1.944054
30.0,30,1.953326
21.0,21,1.954542
32.0,32,1.961692
15.0,15,1.962835
51.0,51,2.178374
12.0,12,2.179937
19.0,19,2.183362
19.0,19,2.19105
47.0,47,2.191804
16.0,16,2.193801
14.0,14,2.200219
14.0,14,2.200934
14.0,14,2.209388
14.0,14,2.21015
45.0,45,2.223225
22.0,22,2.223946
70.0,70,2.225967
33.0,33,2.231893
