AverageEpisodeLength,AveragePolicyProb[0],AveragePolicyProb[1],AverageReturn,Entropy,ExplainedVariance,Iteration,MaxEpisodeLength,MaxReturn,MeanKL,MinEpisodeLength,MinReturn,Objective,Perplexity,StdEpisodeLength,StdReturn,TotalNEpisodes,TotalNSamples,ValueLoss
22.09090909090909,0.49960750341415405,0.5003924369812012,22.09090909090909,0.6931463479995728,-2.461512527451859e-05,1,79,79.0,0.0008457146468572319,9,9.0,-1.632773819437716e-05,1.999999761581421,12.342311154240893,12.342311154240893,88,2000,271.1549072265625
22.89,0.49475014209747314,0.5052498579025269,22.89,0.6923151016235352,0.0030190091351441906,2,79,79.0,0.000898154336027801,9,9.0,0.005754446145147085,1.9983385801315308,12.127567769342706,12.127567769342706,173,4000,240.72317504882812
25.57,0.49546119570732117,0.5045388340950012,25.57,0.6902356147766113,0.009193811639889637,3,75,75.0,0.0008726077503524721,10,10.0,0.006668928544968367,1.9942015409469604,13.608273218891513,13.608273218891513,251,6000,214.9689483642578
24.89,0.49682703614234924,0.5031729936599731,24.89,0.6870315670967102,-0.007300627256098702,4,76,76.0,0.0008755542221479118,10,10.0,0.011058831587433815,1.9878787994384766,11.962353447378154,11.962353447378154,331,8000,160.2052459716797
27.62,0.49718165397644043,0.5028184652328491,27.62,0.6843111515045166,0.007373281829816225,5,91,91.0,0.0007317850831896067,12,12.0,0.006538436748087406,1.9825440645217896,14.813358835861637,14.813358835861637,403,10000,157.09323120117188
28.98,0.487787127494812,0.512212872505188,28.98,0.6776902079582214,0.011056448323025658,6,91,91.0,0.0008364645764231682,10,10.0,0.011778508313000202,1.9697800874710083,15.493211416617278,15.493211416617278,474,12000,145.5111846923828
30.4,0.49948590993881226,0.5005140900611877,30.4,0.6734851002693176,0.01692107565825185,7,91,91.0,0.0008011954487301409,10,10.0,0.008725807070732117,1.9616858959197998,17.799438193381274,17.799438193381274,534,14000,192.889892578125
33.16,0.4951889216899872,0.5048110485076904,33.16,0.6676189303398132,0.02666814329338274,8,107,107.0,0.0006801207782700658,11,11.0,0.00917758233845234,1.950636863708496,18.083539476551596,18.083539476551596,594,16000,150.26451110839844
34.7,0.4887843728065491,0.5112156271934509,34.7,0.6587001085281372,0.04162052469396693,9,107,107.0,0.0007493395823985338,11,11.0,0.01391820888966322,1.9339338541030884,17.089470442351338,17.089470442351338,649,18000,149.50904846191406
39.3,0.48646771907806396,0.5135323405265808,39.3,0.6554586887359619,0.040867188688571754,10,127,127.0,0.0006438372656702995,11,11.0,0.012876052409410477,1.9281288385391235,21.158686159589397,21.158686159589397,695,20000,258.5218505859375
43.27,0.5073830485343933,0.4926168918609619,43.27,0.6494918465614319,0.0760961918382852,11,127,127.0,0.0007658787653781474,13,13.0,0.014821969904005527,1.9171549081802368,22.67326840135758,22.67326840135758,741,22000,193.9770965576172
42.81,0.5096284747123718,0.4903714954853058,42.81,0.6430853605270386,0.054473412880251426,12,102,102.0,0.0007189334719441831,13,13.0,0.026068927720189095,1.9056299924850464,21.673806772230858,21.673806772230858,787,24000,205.4078826904297
